ID,edad,genero,estado_civil,tipo_vivienda,integrantes,zona_geografica,tipo_zona,monto_solicitado,plazo,periodo,sector_economico,ingreso_mensual_bruto,costo_inversion,ingreso_mensual_neto,ingreso_adicional,ingreso_terceros,ingreso_total,gasto_basico,gastos_operativos,gastos_financieros,gasto_total,deuda_total_financiera,puntaje_experian,capacidad_pago_porcentaje,aprobado
SOL-000015,29,M,divorciado,Alquilada,5,Sierra,Urbano,5066,35,Diario,Transporte,9161,75,2290.25,978,136,3404.25,1180,79,310,1569,7440,579,53.91,0
SOL-000016,60,M,casado,Alquilada,4,Costa,Periurbano,2322,20,Quincenal,Servicios,6459,74,1679.34,1094,442,3215.34,960,74,311,1345,2177,807,58.17,1
SOL-000017,38,F,casado,Familiar,1,Costa,Periurbano,850,7,Mensual,Servicios,8781,75,2195.25,2445,916,5556.25,480,58,347,885,694,915,84.07,1
SOL-000018,57,M,conviviente,Propia,2,Costa,Urbano,2787,42,Semanal,Servicios,5626,72,1575.28,1083,1097,3755.28,710,138,150,998,2700,834,73.42,1
SOL-000019,68,M,viudo,Propia,3,Selva,Rural,14221,37,Diario,Servicios,8993,40,5395.8,1666,794,7855.8,590,466,95,1151,1710,662,85.35,1
SOL-000020,37,M,conviviente,Propia,3,Costa,Urbano,2441,60,Diario,Produccion,4454,52,2137.92,247,376,2760.92,890,144,234,1268,1872,853,54.07,1
SOL-000021,35,F,divorciado,Alquilada,5,Sierra,Rural,2827,5,Mensual,Servicios,3699,55,1664.55,1028,617,3309.55,890,123,296,1309,2664,801,60.45,0
SOL-000022,24,F,divorciado,Alquilada,2,Costa,Urbano,7676,8,Quincenal,Servicios,7612,65,2664.2,123,1381,4168.2,710,70,222,1002,888,911,75.96,1
SOL-000023,35,F,conviviente,Alquilada,1,Sierra,Urbano,3313,3,Mensual,Servicios,3467,55,1560.15,86,295,1941.15,520,87,197,804,1379,762,58.58,1
SOL-000024,70,F,conviviente,Alquilada,4,Selva,Rural,3083,88,Diario,Servicios,2768,47,1467.04,540,258,2265.04,710,144,31,885,186,705,60.93,1
SOL-000025,22,F,viudo,Propia,1,Costa,Periurbano,6705,113,Diario,Comercio,8934,59,3662.94,1864,699,6225.94,480,289,42,811,504,963,86.97,1
SOL-000026,52,F,viudo,Propia,6,Selva,Periurbano,9013,87,Diario,Comercio,6862,40,4117.2,916,1145,6178.2,1240,125,611,1976,2444,807,68.02,1
SOL-000027,64,M,casado,Propia,6,Selva,Periurbano,1003,5,Semanal,Produccion,3989,73,1077.03,551,497,2125.03,1240,80,122,1442,732,921,32.14,1
SOL-000028,64,F,divorciado,Familiar,3,Sierra,Rural,2961,9,Mensual,Servicios,1748,40,1048.8,327,60,1435.8,630,60,172,862,1032,999,39.96,1
SOL-000029,62,F,casado,Familiar,3,Selva,Periurbano,8467,5,Mensual,Produccion,9454,49,4821.54,2620,360,7801.54,740,400,214,1354,1284,902,82.64,1
SOL-000030,44,F,viudo,Propia,6,Selva,Urbano,684,6,Quincenal,Servicios,7413,68,2372.16,1158,678,4208.16,1330,176,141,1647,2538,888,60.86,1
SOL-000031,50,F,divorciado,Propia,5,Sierra,Urbano,3877,105,Diario,Transporte,6810,68,2179.2,1617,766,4562.2,1180,155,364,1699,1092,963,62.76,1
SOL-000032,37,M,viudo,Propia,5,Selva,Rural,577,34,Semanal,Transporte,2600,82,468,373,6,847,840,49,85,974,680,755,-14.99,0
SOL-000033,46,M,casado,Alquilada,6,Costa,Urbano,429,6,Mensual,Produccion,1322,74,343.72,121,154,618.72,1440,45,26,1511,416,768,-100,0
SOL-000034,34,F,soltero,Propia,1,Sierra,Rural,3110,15,Quincenal,Produccion,6528,71,1893.12,764,717,3374.12,390,81,16,487,192,702,85.57,1
SOL-000035,59,F,soltero,Alquilada,1,Costa,Periurbano,2001,84,Diario,Produccion,8604,60,3441.6,1348,1312,6101.6,480,315,627,1422,15048,309,76.69,0
SOL-000036,61,M,conviviente,Propia,6,Costa,Periurbano,1119,50,Semanal,Servicios,1664,69,515.84,258,93,866.84,1300,50,91,1441,1092,552,-66.24,0
SOL-000037,31,F,soltero,Alquilada,1,Selva,Rural,1812,25,Semanal,Servicios,3002,42,1741.16,851,305,2897.16,350,145,55,550,440,858,81.02,1
SOL-000038,28,M,divorciado,Propia,1,Selva,Urbano,8049,13,Semanal,Produccion,5434,30,3803.8,1173,164,5140.8,490,274,463,1227,15279,342,76.13,0
SOL-000039,45,M,casado,Familiar,2,Sierra,Urbano,6560,5,Mensual,Comercio,8186,55,3683.7,392,236,4311.7,670,242,158,1070,3792,995,75.18,0
SOL-000040,63,F,casado,Alquilada,1,Costa,Periurbano,668,34,Semanal,Transporte,8388,70,2516.4,1300,1359,5175.4,480,92,14,586,140,807,88.68,1
SOL-000041,52,M,viudo,Propia,6,Selva,Periurbano,896,12,Mensual,Servicios,1971,58,827.82,262,188,1277.82,1240,63,164,1467,1968,644,-14.8,0
SOL-000042,22,F,viudo,Familiar,5,Selva,Rural,1392,48,Semanal,Produccion,4458,75,1114.5,1226,662,3002.5,840,51,8,899,24,897,70.06,1
SOL-000043,32,M,conviviente,Alquilada,4,Sierra,Periurbano,2258,79,Diario,Servicios,2568,55,1155.6,466,85,1706.6,890,101,32,1023,384,725,40.06,1
SOL-000044,63,M,divorciado,Propia,4,Sierra,Rural,2180,102,Diario,Servicios,7876,73,2126.52,903,145,3174.52,750,128,392,1270,4704,563,59.99,0
SOL-000045,26,F,divorciado,Propia,3,Sierra,Periurbano,6361,5,Mensual,Transporte,3400,10,3060,835,153,4048,740,152,504,1396,9072,521,65.51,0
SOL-000046,31,F,divorciado,Familiar,3,Selva,Periurbano,2660,11,Mensual,Transporte,8330,54,3831.8,391,1073,5295.8,740,262,390,1392,2340,874,73.72,1
SOL-000047,25,M,soltero,Propia,1,Sierra,Rural,4508,21,Quincenal,Produccion,3476,55,1564.2,167,505,2236.2,390,70,191,651,3820,569,70.89,0
SOL-000048,40,M,soltero,Propia,1,Selva,Rural,967,6,Mensual,Servicios,1545,42,896.1,82,99,1077.1,350,57,97,504,2328,510,53.21,0
SOL-000049,55,F,casado,Familiar,4,Costa,Urbano,5049,20,Semanal,Produccion,8125,50,4062.5,1798,518,6378.5,1070,190,256,1516,768,938,76.23,1
SOL-000050,37,F,casado,Familiar,6,Sierra,Periurbano,3517,18,Semanal,Servicios,5851,69,1813.81,664,1098,3575.81,1210,101,180,1491,540,915,58.3,1
SOL-000051,40,M,viudo,Alquilada,3,Costa,Periurbano,702,116,Diario,Comercio,1761,56,774.84,99,20,893.84,790,59,40,889,720,915,0.54,0
SOL-000052,62,M,viudo,Propia,2,Sierra,Urbano,2500,17,Quincenal,Servicios,4320,42,2505.6,248,73,2826.6,670,183,68,921,1836,718,67.42,1
SOL-000053,30,M,casado,Familiar,4,Costa,Periurbano,2990,94,Diario,Produccion,2334,51,1143.66,488,319,1950.66,960,54,97,1111,485,907,43.04,1
SOL-000054,65,F,soltero,Familiar,1,Selva,Periurbano,2499,5,Semanal,Transporte,7922,40,4753.2,163,1338,6254.2,430,95,588,1113,2352,679,82.2,1
SOL-000055,46,F,divorciado,Propia,4,Sierra,Periurbano,1437,11,Quincenal,Comercio,9722,68,3111.04,714,79,3904.04,890,268,49,1207,1323,699,69.08,1
SOL-000056,32,F,divorciado,Propia,6,Costa,Rural,4417,13,Semanal,Transporte,4686,35,3045.9,838,841,4724.9,1150,282,25,1457,200,949,69.16,1
SOL-000057,57,F,viudo,Familiar,6,Selva,Urbano,3266,8,Mensual,Produccion,9663,45,5314.65,944,1357,7615.65,1330,356,1007,2693,9063,730,64.64,0
SOL-000058,26,F,viudo,Propia,3,Costa,Urbano,2583,20,Semanal,Servicios,2312,62,878.56,399,50,1327.56,890,51,133,1074,798,761,19.1,0
SOL-000059,21,F,soltero,Familiar,1,Costa,Periurbano,1030,16,Quincenal,Servicios,7407,35,4814.55,36,1457,6307.55,480,93,259,832,518,770,86.81,1
SOL-000060,58,M,casado,Propia,3,Selva,Rural,1116,19,Quincenal,Comercio,2741,53,1288.27,152,322,1762.27,590,98,129,817,4257,629,53.64,0
SOL-000061,63,F,conviviente,Alquilada,2,Selva,Rural,1117,42,Semanal,Servicios,1827,71,529.83,467,175,1171.83,470,50,41,561,328,840,52.13,1
SOL-000062,36,M,casado,Familiar,4,Sierra,Periurbano,1483,12,Mensual,Comercio,3966,60,1586.4,522,630,2738.4,890,96,237,1223,1659,800,55.34,1
SOL-000063,62,M,casado,Propia,1,Costa,Urbano,2410,12,Quincenal,Transporte,2041,50,1020.5,42,172,1234.5,550,98,99,747,297,955,39.49,1
SOL-000064,31,F,conviviente,Propia,1,Sierra,Urbano,3698,11,Quincenal,Produccion,6211,63,2298.07,1565,104,3967.07,520,226,92,838,1932,698,78.88,1
SOL-000065,50,F,viudo,Alquilada,2,Sierra,Periurbano,2957,15,Semanal,Produccion,7989,62,3035.82,1915,1330,6280.82,590,240,442,1272,9282,599,79.75,0
SOL-000066,50,M,casado,Alquilada,5,Costa,Periurbano,2634,26,Semanal,Transporte,6880,53,3233.6,916,734,4883.6,1130,269,87,1486,2349,836,69.57,1
SOL-000067,48,M,divorciado,Familiar,4,Costa,Periurbano,446,63,Diario,Comercio,1833,49,934.83,314,258,1506.83,960,79,98,1137,588,891,24.54,0
SOL-000068,59,F,casado,Propia,4,Sierra,Urbano,6539,10,Mensual,Comercio,6413,63,2372.81,1544,652,4568.81,1000,137,211,1348,1266,732,70.5,1
SOL-000069,32,M,soltero,Alquilada,1,Costa,Urbano,4682,6,Mensual,Comercio,6771,69,2099.01,252,368,2719.01,550,90,393,1033,1179,874,62.01,1
SOL-000070,58,F,divorciado,Propia,4,Selva,Urbano,7636,15,Quincenal,Produccion,8820,45,4851,1279,238,6368,990,440,595,2025,2380,937,68.2,1
SOL-000071,45,M,soltero,Propia,1,Sierra,Urbano,1987,9,Mensual,Comercio,1931,64,695.16,500,312,1507.16,520,59,94,673,3102,431,55.35,0
SOL-000072,19,F,soltero,Familiar,1,Selva,Rural,14591,10,Mensual,Comercio,8899,42,5161.42,1281,773,7215.42,350,248,416,1014,3744,884,85.95,1
SOL-000073,25,M,soltero,Alquilada,1,Selva,Rural,5796,3,Mensual,Servicios,7433,61,2898.87,1999,97,4994.87,350,197,579,1126,19107,240,77.46,0
SOL-000074,37,F,soltero,Familiar,1,Costa,Urbano,2599,12,Mensual,Transporte,3789,69,1174.59,590,266,2030.59,550,106,17,673,119,849,66.86,1
SOL-000075,62,F,casado,Familiar,3,Costa,Urbano,427,12,Quincenal,Produccion,1334,45,733.7,54,111,898.7,890,66,116,1072,812,846,-19.28,0
SOL-000076,53,M,casado,Familiar,5,Selva,Periurbano,4718,8,Mensual,Servicios,9822,68,3143.04,2940,1515,7598.04,1080,216,109,1405,1308,680,81.51,1
SOL-000077,21,M,soltero,Familiar,1,Selva,Rural,4284,16,Semanal,Transporte,2847,42,1651.26,449,27,2127.26,350,163,224,737,448,707,65.35,1
SOL-000078,52,F,casado,Familiar,2,Sierra,Periurbano,1607,75,Diario,Produccion,4650,68,1488,859,820,3167,590,64,292,946,5256,571,70.13,0
SOL-000079,34,F,viudo,Familiar,1,Selva,Periurbano,5548,65,Diario,Produccion,5283,59,2166.03,1105,808,4079.03,430,174,1,605,3,757,85.17,1
SOL-000080,62,M,casado,Familiar,6,Selva,Rural,627,25,Semanal,Transporte,5532,26,4093.68,431,236,4760.68,970,163,686,1819,2744,938,61.79,1
SOL-000081,22,F,conviviente,Propia,4,Sierra,Urbano,4885,9,Semanal,Produccion,5935,68,1899.2,1404,209,3512.2,1000,147,182,1329,3640,990,62.16,0
SOL-000082,27,F,divorciado,Alquilada,1,Sierra,Urbano,5601,18,Semanal,Transporte,9840,68,3148.8,266,261,3675.8,520,136,364,1020,4368,702,72.25,0
SOL-000083,21,F,soltero,Alquilada,1,Sierra,Rural,10147,6,Quincenal,Servicios,8311,56,3656.84,1528,923,6107.84,390,101,432,923,12960,588,84.89,0
SOL-000084,52,M,viudo,Familiar,4,Selva,Periurbano,9754,33,Semanal,Transporte,4662,15,3962.7,368,219,4549.7,920,242,17,1179,238,994,74.09,1
SOL-000085,28,M,divorciado,Propia,4,Sierra,Rural,3343,3,Mensual,Servicios,6683,71,1938.07,899,215,3052.07,750,164,230,1144,5520,645,62.52,0
SOL-000086,41,F,casado,Familiar,5,Sierra,Rural,3143,3,Mensual,Comercio,3386,68,1083.52,630,433,2146.52,890,51,115,1056,2760,584,50.8,0
SOL-000087,56,F,casado,Alquilada,1,Sierra,Urbano,6746,79,Diario,Transporte,4803,53,2257.41,346,622,3225.41,520,203,394,1117,7092,638,65.37,0
SOL-000088,66,M,soltero,Propia,1,Selva,Urbano,3437,113,Diario,Comercio,4552,58,1911.84,1225,848,3984.84,490,60,254,804,7620,621,79.82,0
SOL-000089,67,F,casado,Familiar,1,Selva,Urbano,1463,35,Semanal,Produccion,4904,54,2255.84,294,710,3259.84,490,182,412,1084,4120,806,66.75,0
SOL-000090,28,M,divorciado,Familiar,5,Selva,Periurbano,2691,72,Diario,Comercio,5297,60,2118.8,899,1043,4060.8,1080,99,339,1518,3729,798,62.62,0
SOL-000091,18,F,soltero,Familiar,1,Sierra,Urbano,7233,56,Diario,Produccion,5919,54,2722.74,504,263,3489.74,520,176,382,1078,1528,830,69.11,1
SOL-000092,54,F,divorciado,Familiar,2,Selva,Urbano,3096,15,Semanal,Servicios,8095,31,5585.55,2199,898,8682.55,640,352,737,1729,8107,919,80.09,0
SOL-000093,63,M,conviviente,Propia,4,Sierra,Rural,939,104,Diario,Comercio,3856,67,1272.48,87,196,1555.48,750,57,248,1055,248,752,32.18,1
SOL-000094,25,M,divorciado,Familiar,4,Costa,Rural,329,71,Diario,Servicios,2021,75,505.25,250,386,1141.25,840,50,1,891,6,955,21.93,0
SOL-000095,48,F,soltero,Alquilada,1,Selva,Periurbano,11292,40,Semanal,Produccion,6825,42,3958.5,1763,759,6480.5,430,395,550,1375,5500,730,78.78,0
SOL-000096,52,F,conviviente,Alquilada,2,Costa,Urbano,12279,23,Quincenal,Produccion,9288,52,4458.24,291,646,5395.24,710,320,415,1445,830,733,73.22,1
SOL-000097,25,M,conviviente,Alquilada,5,Sierra,Rural,1844,67,Diario,Produccion,6161,35,4004.65,1528,357,5889.65,890,278,468,1636,3276,894,72.22,1
SOL-000098,42,F,conviviente,Propia,2,Sierra,Urbano,3459,17,Quincenal,Produccion,8906,71,2582.74,1535,880,4997.74,670,225,183,1078,4392,791,78.43,0
SOL-000099,59,M,conviviente,Propia,4,Costa,Urbano,1597,97,Diario,Transporte,3588,56,1578.72,922,526,3026.72,1070,58,22,1150,22,968,62.01,1
SOL-000100,42,F,viudo,Familiar,1,Sierra,Urbano,5309,23,Quincenal,Comercio,7451,32,5066.68,453,1161,6680.68,520,188,921,1629,14736,591,75.62,0
SOL-000101,44,M,casado,Familiar,6,Sierra,Periurbano,1543,5,Mensual,Comercio,9627,53,4524.69,2232,1254,8010.69,1210,371,348,1929,2784,967,75.92,1
SOL-000102,26,F,casado,Propia,6,Selva,Periurbano,958,11,Mensual,Transporte,7118,73,1921.86,202,807,2930.86,1240,101,263,1604,7101,643,45.27,0
SOL-000103,37,F,viudo,Propia,4,Costa,Rural,2889,4,Mensual,Produccion,9892,69,3066.52,1702,753,5521.52,840,279,97,1216,1552,799,77.98,1
SOL-000104,61,F,conviviente,Propia,3,Costa,Rural,627,99,Diario,Produccion,2259,65,790.65,594,204,1588.65,700,59,20,779,180,912,50.96,1
SOL-000105,67,F,conviviente,Propia,3,Costa,Periurbano,7337,48,Semanal,Servicios,7413,64,2668.68,1207,868,4743.68,790,251,14,1055,252,748,77.76,1
SOL-000106,23,F,divorciado,Familiar,5,Sierra,Periurbano,5860,10,Quincenal,Transporte,6392,55,2876.4,517,268,3661.4,1050,135,535,1720,8560,579,53.02,0
SOL-000107,57,F,soltero,Alquilada,1,Selva,Rural,3620,49,Semanal,Servicios,7642,26,5655.08,2270,382,8307.08,350,403,508,1261,3556,850,84.82,1
SOL-000108,67,F,conviviente,Familiar,3,Sierra,Urbano,1914,11,Quincenal,Servicios,3235,73,873.45,217,161,1251.45,830,61,22,913,484,754,27.04,1
SOL-000109,35,F,divorciado,Propia,3,Selva,Rural,4864,2,Quincenal,Transporte,6760,67,2230.8,23,1229,3482.8,590,98,104,792,1560,995,77.26,1
SOL-000110,60,M,soltero,Propia,1,Selva,Rural,4023,10,Quincenal,Transporte,6766,72,1894.48,1730,565,4189.48,350,140,77,567,462,887,86.47,1
SOL-000111,49,M,soltero,Alquilada,1,Sierra,Rural,1214,18,Quincenal,Transporte,8408,73,2270.16,2432,1220,5922.16,390,222,261,873,2349,702,85.26,1
SOL-000112,18,M,soltero,Propia,1,Selva,Periurbano,3455,24,Quincenal,Transporte,5756,60,2302.4,147,901,3350.4,430,60,163,653,2934,977,80.51,0
SOL-000113,51,M,viudo,Familiar,5,Sierra,Urbano,3840,6,Mensual,Transporte,6849,60,2739.6,1689,189,4617.6,1180,264,489,1933,3912,908,58.14,0
SOL-000114,24,M,divorciado,Propia,5,Costa,Rural,1059,12,Mensual,Comercio,5579,70,1673.7,1261,510,3444.7,1000,51,236,1287,1416,983,62.64,1
SOL-000115,44,M,soltero,Alquilada,1,Costa,Rural,2010,2,Quincenal,Servicios,7829,68,2505.28,1146,122,3773.28,430,216,357,1003,6426,624,73.42,0
SOL-000116,26,F,divorciado,Propia,2,Sierra,Urbano,2041,44,Semanal,Servicios,3388,63,1253.56,844,356,2453.56,670,64,135,869,810,856,64.58,1
SOL-000117,35,F,divorciado,Propia,1,Sierra,Urbano,762,4,Mensual,Comercio,9560,35,6214,920,1754,8888,520,451,614,1585,9824,986,82.17,0
SOL-000118,70,F,conviviente,Alquilada,3,Costa,Rural,610,4,Mensual,Comercio,9177,59,3762.57,2100,1663,7525.57,700,57,659,1416,6590,920,81.18,0
SOL-000119,56,M,soltero,Familiar,1,Costa,Rural,2984,46,Semanal,Servicios,7979,67,2633.07,1317,61,4011.07,430,234,187,851,3740,716,78.78,0
SOL-000120,56,F,viudo,Alquilada,2,Costa,Rural,6975,36,Semanal,Transporte,5773,55,2597.85,283,41,2921.85,560,160,26,746,390,684,74.47,1
SOL-000121,51,M,casado,Propia,4,Costa,Urbano,3297,10,Mensual,Produccion,4597,72,1287.16,402,288,1977.16,1070,77,234,1381,5616,310,30.15,0
SOL-000122,69,F,divorciado,Alquilada,6,Sierra,Rural,330,4,Mensual,Transporte,2354,74,612.04,243,77,932.04,1020,54,14,1088,280,700,-16.73,0
SOL-000123,63,F,casado,Familiar,2,Sierra,Rural,1716,9,Quincenal,Produccion,2501,72,700.28,233,352,1285.28,520,60,98,678,2352,578,47.25,0
SOL-000124,27,F,viudo,Familiar,5,Selva,Periurbano,886,49,Diario,Servicios,8152,85,1222.8,2172,1292,4686.8,1080,89,42,1211,252,760,74.16,1
SOL-000125,27,F,conviviente,Alquilada,1,Sierra,Urbano,1066,24,Quincenal,Servicios,3989,40,2393.4,257,602,3252.4,520,118,306,944,10098,444,70.98,0
SOL-000126,56,F,casado,Familiar,1,Selva,Urbano,1853,5,Quincenal,Comercio,2751,73,742.77,618,197,1557.77,490,53,11,554,33,894,64.44,1
SOL-000127,53,M,soltero,Propia,1,Selva,Periurbano,9282,18,Semanal,Servicios,8741,58,3671.22,804,1502,5977.22,430,311,513,1254,9234,587,79.02,0
SOL-000128,18,F,soltero,Familiar,1,Costa,Rural,1235,2,Quincenal,Comercio,2971,70,891.3,23,574,1488.3,430,65,130,625,1950,642,58.01,0
SOL-000129,42,M,casado,Alquilada,3,Sierra,Rural,1149,16,Quincenal,Produccion,7836,60,3134.4,1155,272,4561.4,630,68,423,1121,5922,947,75.42,0
SOL-000130,38,M,conviviente,Propia,3,Selva,Periurbano,6193,24,Quincenal,Comercio,6169,61,2405.91,462,511,3378.91,740,236,205,1181,4100,763,65.05,0
SOL-000131,58,M,conviviente,Familiar,6,Sierra,Urbano,5130,11,Semanal,Produccion,8146,70,2443.8,2292,1124,5859.8,1350,62,352,1764,7744,556,69.9,0
SOL-000132,30,M,viudo,Familiar,6,Sierra,Rural,987,3,Mensual,Transporte,1195,55,537.75,251,13,801.75,1020,51,40,1111,960,754,-38.57,0
SOL-000133,56,M,casado,Propia,3,Costa,Urbano,1926,14,Semanal,Produccion,4701,69,1457.31,411,560,2428.31,890,140,103,1133,824,948,53.34,1
SOL-000134,18,M,soltero,Propia,1,Costa,Urbano,2395,4,Mensual,Servicios,5135,35,3337.75,1478,881,5696.75,550,303,598,1451,7176,606,74.53,0
SOL-000135,52,M,divorciado,Alquilada,5,Costa,Periurbano,1187,10,Quincenal,Transporte,3146,70,943.8,354,585,1882.8,1130,76,61,1267,854,910,32.71,1
SOL-000136,41,F,divorciado,Propia,3,Selva,Urbano,3237,47,Semanal,Comercio,5727,73,1546.29,273,630,2449.29,800,56,253,1109,6831,465,54.72,0
SOL-000137,65,F,divorciado,Alquilada,1,Selva,Urbano,4381,6,Quincenal,Servicios,6488,63,2400.56,1880,756,5036.56,490,87,376,953,6016,507,81.08,0
SOL-000138,59,M,conviviente,Familiar,3,Selva,Periurbano,2864,30,Semanal,Produccion,2729,65,955.15,533,243,1731.15,740,82,175,997,3850,327,42.41,0
SOL-000139,46,F,casado,Familiar,6,Costa,Periurbano,5706,11,Quincenal,Transporte,7697,70,2309.1,92,752,3153.1,1300,98,8,1406,120,677,55.41,1
SOL-000140,56,M,casado,Familiar,3,Costa,Urbano,6185,94,Diario,Servicios,9328,15,7928.8,616,1448,9992.8,890,763,1057,2710,25368,518,72.88,0
SOL-000141,25,M,viudo,Propia,1,Sierra,Rural,1932,11,Mensual,Comercio,3064,64,1103.04,411,475,1989.04,390,54,166,610,664,940,69.33,1
SOL-000142,66,F,divorciado,Familiar,2,Costa,Urbano,2235,5,Mensual,Comercio,2023,40,1213.8,198,60,1471.8,710,63,12,785,168,721,46.66,1
SOL-000143,28,M,viudo,Alquilada,6,Sierra,Periurbano,3112,50,Semanal,Servicios,8689,70,2606.7,540,1284,4430.7,1210,178,77,1465,154,992,66.94,1
SOL-000144,53,M,viudo,Propia,1,Selva,Periurbano,641,6,Mensual,Transporte,7330,73,1979.1,1902,427,4308.1,430,70,248,748,1488,803,82.64,1
SOL-000145,58,F,conviviente,Alquilada,6,Sierra,Urbano,3776,21,Quincenal,Transporte,4223,56,1858.12,298,402,2558.12,1350,172,167,1689,167,793,33.97,1
SOL-000146,18,F,soltero,Propia,1,Selva,Urbano,1008,8,Mensual,Comercio,3277,72,917.56,937,548,2402.56,490,90,137,717,1370,858,70.16,1
SOL-000147,26,F,soltero,Alquilada,1,Sierra,Periurbano,2641,9,Quincenal,Comercio,6141,74,1596.66,1530,18,3144.66,450,66,289,805,2890,724,74.4,0
SOL-000148,22,M,conviviente,Familiar,6,Costa,Rural,6296,10,Quincenal,Comercio,7730,67,2550.9,931,635,4116.9,1150,247,321,1718,642,969,58.27,1
SOL-000149,64,M,casado,Familiar,3,Costa,Urbano,3386,5,Mensual,Comercio,6430,69,1993.3,1006,1237,4236.3,890,111,53,1054,477,806,75.12,1
SOL-000150,57,M,soltero,Alquilada,1,Costa,Rural,8465,59,Diario,Produccion,9533,65,3336.55,1874,246,5456.55,430,266,333,1029,7992,638,81.14,0
SOL-000151,38,M,divorciado,Familiar,5,Costa,Periurbano,19006,33,Semanal,Transporte,7956,18,6523.92,1760,1386,9669.92,1130,497,616,2243,1232,940,76.8,1
SOL-000152,29,F,conviviente,Familiar,4,Costa,Periurbano,4281,40,Semanal,Comercio,5239,69,1624.09,773,439,2836.09,960,78,303,1341,3030,856,52.72,0
SOL-000153,65,M,divorciado,Alquilada,2,Selva,Periurbano,1917,37,Diario,Produccion,3791,75,947.75,473,595,2015.75,580,77,52,709,312,845,64.83,1
SOL-000154,66,F,casado,Familiar,3,Costa,Periurbano,2731,9,Mensual,Transporte,5067,67,1672.11,248,832,2752.11,790,121,188,1099,4512,532,60.07,0
SOL-000155,26,F,viudo,Alquilada,4,Selva,Urbano,319,3,Mensual,Comercio,2633,68,842.56,212,301,1355.56,990,70,39,1099,936,844,18.93,0
SOL-000156,40,F,conviviente,Familiar,5,Costa,Urbano,1831,8,Mensual,Produccion,3964,38,2457.68,806,72,3335.68,1250,151,366,1767,2196,820,47.03,1
SOL-000157,47,M,casado,Propia,2,Selva,Periurbano,1349,19,Semanal,Produccion,8252,58,3465.84,541,1341,5347.84,580,128,284,992,4260,709,81.45,0
SOL-000158,25,M,viudo,Alquilada,4,Sierra,Rural,4352,17,Quincenal,Comercio,5876,63,2174.12,1587,382,4143.12,750,117,243,1110,4374,545,73.21,0
SOL-000159,36,F,divorciado,Alquilada,1,Sierra,Rural,1349,10,Mensual,Comercio,7114,68,2276.48,1884,185,4345.48,390,158,340,888,7140,538,79.56,0
SOL-000160,50,F,divorciado,Familiar,1,Sierra,Urbano,720,12,Mensual,Produccion,4778,69,1481.18,646,786,2913.18,520,73,31,624,186,919,78.58,1
