ID,edad,genero,estado_civil,tipo_vivienda,integrantes,zona_geografica,tipo_zona,monto_solicitado,plazo,periodo,sector_economico,ingreso_mensual_bruto,costo_inversion,ingreso_mensual_neto,ingreso_adicional,ingreso_terceros,ingreso_total,gasto_basico,gastos_operativos,gastos_financieros,gasto_total,puntaje_experian,aprobado
SOL-000028,25,F,casado,Propia,6,Costa,Rural,1029,19,Quincenal,Transporte,6553,40,3931.8,1142,28,5101.8,1150,390,321,1861,989,1
SOL-000029,64,F,viudo,Alquilada,5,Selva,Rural,849,8,Mensual,Transporte,1281,66,435.54,49,85,569.54,840,48,69,957,669,0
SOL-000030,37,M,divorciado,Alquilada,6,Sierra,Urbano,4697,22,Quincenal,Comercio,3092,43,1762.44,560,248,2570.44,1350,150,33,1533,846,0
SOL-000031,23,F,conviviente,Alquilada,4,Costa,Periurbano,6642,19,Quincenal,Comercio,6182,53,2905.54,807,1123,4835.54,960,209,189,1358,911,1
SOL-000032,61,F,conviviente,Familiar,4,Costa,Rural,1878,15,Quincenal,Produccion,3047,69,944.57,692,488,2124.57,840,68,168,1076,905,1
SOL-000033,36,M,divorciado,Alquilada,3,Sierra,Urbano,800,13,Quincenal,Transporte,2279,67,752.07,603,21,1376.07,830,74,145,1049,770,0
SOL-000034,43,M,soltero,Familiar,1,Sierra,Periurbano,483,11,Mensual,Comercio,3110,70,933,893,141,1967,450,68,59,577,704,1
SOL-000035,67,F,soltero,Alquilada,1,Selva,Periurbano,1428,103,Diario,Produccion,3543,68,1133.76,769,331,2233.76,430,56,28,514,684,1
SOL-000036,20,F,soltero,Propia,1,Sierra,Periurbano,657,21,Quincenal,Servicios,7278,72,2037.84,1490,409,3936.84,450,123,289,862,801,1
SOL-000037,19,F,soltero,Alquilada,1,Sierra,Periurbano,8264,3,Quincenal,Comercio,6917,25,5187.75,545,825,6557.75,450,237,144,831,795,0
SOL-000038,28,F,casado,Propia,1,Selva,Periurbano,616,38,Diario,Servicios,6051,63,2238.87,1148,410,3796.87,430,170,109,709,872,1
SOL-000039,59,F,soltero,Alquilada,1,Costa,Periurbano,10663,5,Quincenal,Comercio,5331,33,3571.77,1078,762,5411.77,480,317,43,840,937,0
SOL-000040,30,F,casado,Propia,6,Selva,Periurbano,5233,6,Mensual,Servicios,9173,74,2384.98,2743,1148,6275.98,1240,149,89,1478,821,1
SOL-000041,34,M,casado,Familiar,6,Selva,Periurbano,1697,13,Semanal,Transporte,1958,71,567.82,170,215,952.82,1240,51,95,1386,847,0
SOL-000042,35,F,viudo,Familiar,6,Sierra,Urbano,6547,13,Quincenal,Servicios,4418,13,3843.66,584,799,5226.66,1350,132,41,1523,735,1
SOL-000043,18,F,soltero,Familiar,1,Sierra,Rural,2725,36,Semanal,Transporte,4397,72,1231.16,423,810,2464.16,390,92,22,504,926,1
SOL-000044,65,F,conviviente,Alquilada,3,Costa,Rural,8494,8,Mensual,Produccion,9068,68,2901.76,1592,323,4816.76,700,196,19,915,745,1
SOL-000045,29,M,conviviente,Familiar,5,Sierra,Urbano,828,57,Diario,Servicios,2950,76,708,632,66,1406,1180,57,139,1376,729,0
SOL-000046,54,M,conviviente,Familiar,2,Selva,Rural,3257,12,Mensual,Produccion,6278,63,2322.86,304,1121,3747.86,470,187,338,995,696,1
SOL-000047,32,M,conviviente,Propia,5,Costa,Rural,858,115,Diario,Produccion,2050,70,615,83,63,761,1000,60,63,1123,946,0
SOL-000048,36,F,soltero,Propia,1,Costa,Rural,2419,4,Mensual,Comercio,2506,45,1378.3,458,232,2068.3,430,78,5,513,975,1
SOL-000049,38,M,divorciado,Alquilada,4,Selva,Urbano,2038,109,Diario,Comercio,8829,65,3090.15,2182,880,6152.15,990,161,244,1395,774,1
SOL-000050,45,M,viudo,Propia,3,Sierra,Periurbano,1277,17,Quincenal,Comercio,2741,60,1096.4,154,149,1399.4,740,59,72,871,946,1
SOL-000051,60,M,soltero,Propia,1,Selva,Urbano,873,54,Diario,Comercio,1819,68,582.08,335,217,1134.08,490,52,9,551,889,0
SOL-000052,49,F,viudo,Propia,6,Selva,Urbano,832,28,Semanal,Servicios,3916,71,1135.64,383,61,1579.64,1330,56,197,1583,757,0
SOL-000053,52,M,casado,Alquilada,2,Selva,Urbano,4248,43,Diario,Transporte,4673,64,1682.28,456,914,3052.28,640,67,110,817,932,0
SOL-000054,60,F,soltero,Familiar,1,Sierra,Periurbano,10313,24,Semanal,Transporte,9517,52,4568.16,383,765,5716.16,450,70,858,1378,780,0
SOL-000055,56,M,casado,Familiar,6,Selva,Rural,3922,20,Quincenal,Produccion,2229,30,1560.3,294,304,2158.3,970,108,142,1220,746,0
SOL-000056,47,M,viudo,Propia,5,Costa,Urbano,1101,39,Semanal,Transporte,2277,69,705.87,623,397,1725.87,1250,58,0,1308,835,0
SOL-000057,43,M,divorciado,Familiar,3,Costa,Rural,2514,12,Mensual,Comercio,5928,65,2074.8,672,337,3083.8,700,177,205,1082,744,1
SOL-000058,33,F,soltero,Alquilada,1,Sierra,Urbano,888,12,Mensual,Comercio,7617,70,2285.1,346,1490,4121.1,520,207,361,1088,913,1
SOL-000059,43,F,soltero,Propia,1,Selva,Periurbano,2779,50,Semanal,Comercio,5402,65,1890.7,1197,250,3337.7,430,186,260,876,841,1
SOL-000060,36,M,divorciado,Propia,5,Selva,Rural,2229,5,Quincenal,Produccion,4869,63,1801.53,307,390,2498.53,840,73,334,1247,829,0
SOL-000061,38,M,soltero,Alquilada,1,Selva,Rural,1014,10,Mensual,Comercio,2452,63,907.24,404,78,1389.24,350,53,102,505,837,1
SOL-000062,28,M,casado,Alquilada,6,Costa,Periurbano,3643,7,Quincenal,Transporte,8888,51,4355.12,854,1051,6260.12,1300,356,684,2340,937,1
SOL-000063,40,F,viudo,Propia,1,Selva,Urbano,5303,94,Diario,Servicios,8871,70,2661.3,199,416,3276.3,490,146,508,1144,692,0
SOL-000064,41,M,casado,Familiar,5,Sierra,Periurbano,2800,2,Quincenal,Servicios,6712,59,2751.92,12,984,3747.92,1050,145,233,1428,678,0
SOL-000065,34,F,conviviente,Propia,5,Selva,Periurbano,6526,52,Semanal,Comercio,9960,40,5976,1896,1428,9300,1080,236,50,1366,816,1
SOL-000066,64,F,divorciado,Alquilada,4,Costa,Periurbano,1755,3,Mensual,Servicios,2143,63,792.91,520,96,1408.91,960,59,63,1082,917,0
SOL-000067,58,F,divorciado,Propia,1,Selva,Urbano,1773,5,Mensual,Transporte,7691,53,3614.77,665,1199,5478.77,490,282,31,803,993,1
SOL-000068,43,M,soltero,Familiar,1,Sierra,Urbano,1952,40,Semanal,Comercio,7492,73,2022.84,2022,330,4374.84,520,105,128,753,700,1
SOL-000069,47,F,divorciado,Alquilada,3,Selva,Rural,2722,107,Diario,Comercio,3803,63,1407.11,585,689,2681.11,590,96,12,698,699,1
SOL-000070,31,M,conviviente,Alquilada,6,Sierra,Rural,2917,9,Quincenal,Servicios,7211,53,3389.17,1292,880,5561.17,1020,284,429,1733,871,1
SOL-000071,66,M,divorciado,Familiar,2,Sierra,Urbano,707,71,Diario,Produccion,1256,75,314,367,114,795,670,49,53,772,879,0
SOL-000072,41,F,viudo,Familiar,4,Sierra,Rural,1653,49,Semanal,Comercio,8900,71,2581,1689,1605,5875,750,250,128,1128,999,1
SOL-000073,46,F,soltero,Familiar,1,Costa,Periurbano,10194,25,Semanal,Comercio,9132,42,5296.56,471,911,6678.56,480,393,989,1862,712,0
SOL-000074,40,F,casado,Alquilada,2,Sierra,Periurbano,519,8,Mensual,Transporte,2943,58,1236.06,806,407,2449.06,590,109,37,736,859,1
SOL-000075,57,F,casado,Familiar,5,Sierra,Rural,3579,22,Semanal,Comercio,6583,73,1777.41,1628,362,3767.41,890,65,118,1073,835,1
SOL-000076,43,M,conviviente,Familiar,6,Sierra,Periurbano,2373,4,Mensual,Comercio,3335,67,1100.55,620,150,1870.55,1210,73,212,1495,941,0
SOL-000077,63,M,soltero,Familiar,1,Sierra,Urbano,4869,17,Semanal,Produccion,3701,56,1628.44,639,340,2607.44,520,59,101,680,930,0
SOL-000078,31,F,casado,Alquilada,3,Sierra,Rural,3007,13,Quincenal,Servicios,4155,67,1371.15,571,116,2058.15,630,79,262,971,828,1
SOL-000079,30,M,conviviente,Familiar,4,Costa,Rural,1514,97,Diario,Servicios,2183,61,851.37,647,347,1845.37,840,70,3,913,881,1
SOL-000080,36,M,soltero,Familiar,1,Costa,Rural,2408,47,Semanal,Produccion,4033,67,1330.89,1087,692,3109.89,430,130,124,684,739,1
SOL-000081,53,M,soltero,Alquilada,1,Selva,Rural,2280,28,Semanal,Comercio,2473,63,915.01,118,116,1149.01,350,68,80,498,915,1
SOL-000082,53,M,viudo,Alquilada,3,Sierra,Urbano,5112,19,Semanal,Transporte,9344,53,4391.68,1499,1091,6981.68,830,208,685,1723,806,1
SOL-000083,60,F,divorciado,Familiar,6,Costa,Periurbano,13338,58,Diario,Servicios,6653,17,5521.99,1485,595,7601.99,1300,96,502,1898,952,0
SOL-000084,63,M,divorciado,Alquilada,4,Sierra,Rural,2680,11,Semanal,Produccion,4802,69,1488.62,484,874,2846.62,750,83,117,950,940,1
SOL-000085,46,M,divorciado,Familiar,1,Sierra,Urbano,10837,4,Mensual,Servicios,9005,40,5403,660,163,6226,520,437,985,1942,972,0
SOL-000086,70,F,soltero,Propia,1,Costa,Urbano,2732,69,Diario,Transporte,7412,55,3335.4,1967,205,5507.4,550,314,371,1235,832,1
SOL-000087,55,M,viudo,Propia,5,Sierra,Periurbano,643,5,Quincenal,Transporte,7350,70,2205,976,419,3600,1050,151,36,1237,676,1
SOL-000088,30,F,soltero,Alquilada,1,Selva,Periurbano,2625,83,Diario,Servicios,7674,79,1611.54,258,11,1880.54,430,55,179,664,792,0
SOL-000089,18,F,soltero,Alquilada,1,Costa,Urbano,3559,29,Semanal,Transporte,7703,66,2619.02,1218,1,3838.02,550,233,446,1229,665,1
SOL-000090,58,F,soltero,Familiar,1,Costa,Periurbano,2130,27,Semanal,Comercio,9122,53,4287.34,991,470,5748.34,480,64,390,934,972,1
SOL-000091,39,M,soltero,Alquilada,1,Costa,Urbano,2955,35,Diario,Produccion,2854,30,1997.8,466,186,2649.8,550,54,300,904,819,0
SOL-000092,50,M,viudo,Propia,2,Sierra,Urbano,6479,39,Semanal,Produccion,5283,53,2483.01,1049,802,4334.01,670,199,222,1091,790,1
SOL-000093,68,M,divorciado,Familiar,5,Costa,Urbano,3873,10,Semanal,Transporte,3048,53,1432.56,36,533,2001.56,1250,64,253,1567,713,0
SOL-000094,54,F,divorciado,Familiar,4,Costa,Urbano,5714,20,Quincenal,Produccion,7723,64,2780.28,405,14,3199.28,1070,243,207,1520,842,1
SOL-000095,49,M,conviviente,Propia,4,Sierra,Periurbano,3315,10,Mensual,Comercio,8518,60,3407.2,600,581,4588.2,890,101,215,1206,786,1
SOL-000096,28,F,viudo,Alquilada,3,Selva,Rural,904,97,Diario,Servicios,3524,60,1409.6,677,567,2653.6,590,61,38,689,655,1
SOL-000097,69,F,conviviente,Propia,2,Costa,Rural,3161,36,Semanal,Comercio,6098,60,2439.2,1676,573,4688.2,560,80,165,805,924,1
SOL-000098,26,F,conviviente,Familiar,3,Costa,Periurbano,7489,64,Diario,Servicios,5928,53,2786.16,697,1179,4662.16,790,212,135,1137,686,0
SOL-000099,24,M,viudo,Propia,6,Sierra,Urbano,9397,6,Semanal,Transporte,5025,21,3969.75,720,564,5253.75,1350,385,126,1861,817,0
SOL-000100,22,M,conviviente,Propia,5,Costa,Rural,365,72,Diario,Servicios,1113,67,367.29,15,201,583.29,1000,37,8,1045,751,0
SOL-000101,26,F,soltero,Alquilada,1,Selva,Periurbano,2095,97,Diario,Produccion,3624,15,3080.4,930,314,4324.4,430,134,321,885,809,1
SOL-000102,44,M,soltero,Propia,1,Costa,Periurbano,2718,12,Mensual,Servicios,5501,72,1540.28,1377,257,3174.28,480,124,124,728,847,1
SOL-000103,70,F,conviviente,Alquilada,1,Costa,Rural,5550,21,Semanal,Comercio,8491,70,2547.3,1214,1418,5179.3,430,89,211,730,967,1
SOL-000104,51,M,divorciado,Alquilada,5,Costa,Urbano,2464,12,Mensual,Comercio,3822,52,1834.56,179,619,2632.56,1250,71,365,1686,656,1
SOL-000105,18,F,soltero,Alquilada,1,Sierra,Urbano,4260,50,Semanal,Servicios,6690,40,4014,1260,733,6007,520,297,641,1458,778,1
SOL-000106,50,M,viudo,Propia,3,Costa,Urbano,3255,62,Diario,Servicios,1904,38,1180.48,563,306,2049.48,890,100,65,1055,757,0
SOL-000107,42,F,conviviente,Alquilada,6,Selva,Periurbano,7712,9,Quincenal,Comercio,6235,45,3429.25,1513,406,5348.25,1240,267,265,1772,792,1
SOL-000108,69,M,casado,Alquilada,2,Sierra,Urbano,2088,11,Mensual,Transporte,4937,67,1629.21,1033,577,3239.21,670,152,289,1111,883,1
SOL-000109,37,F,divorciado,Familiar,4,Costa,Rural,4225,37,Semanal,Servicios,8857,75,2214.25,2102,1527,5843.25,840,132,91,1063,708,1
SOL-000110,27,F,casado,Alquilada,1,Selva,Urbano,6221,10,Semanal,Servicios,7039,60,2815.6,1852,131,4798.6,490,92,524,1106,697,0
SOL-000111,60,F,conviviente,Familiar,2,Selva,Rural,1324,5,Quincenal,Comercio,3685,60,1474,766,491,2731,470,96,107,673,988,1
SOL-000112,46,F,divorciado,Familiar,6,Selva,Rural,2215,8,Mensual,Servicios,2849,68,911.68,322,173,1406.68,970,78,54,1102,671,0
SOL-000113,35,M,conviviente,Propia,2,Sierra,Rural,4191,73,Diario,Comercio,4311,61,1681.29,149,438,2268.29,520,82,107,709,833,0
SOL-000114,58,F,viudo,Familiar,6,Selva,Periurbano,6080,35,Diario,Produccion,6277,50,3138.5,672,310,4120.5,1240,223,342,1805,919,0
SOL-000115,37,M,viudo,Alquilada,2,Sierra,Rural,2078,86,Diario,Servicios,4455,67,1470.15,427,83,1980.15,520,138,258,916,749,0
SOL-000116,60,M,divorciado,Propia,5,Selva,Rural,3462,56,Diario,Transporte,5253,60,2101.2,343,392,2836.2,840,87,136,1063,693,0
SOL-000117,53,M,conviviente,Propia,5,Sierra,Rural,2612,40,Diario,Produccion,4570,60,1828,230,9,2067,890,169,233,1292,865,0
SOL-000118,23,F,divorciado,Familiar,5,Selva,Periurbano,4573,50,Semanal,Transporte,6113,65,2139.55,1650,517,4306.55,1080,200,370,1650,987,1
SOL-000119,21,F,soltero,Alquilada,1,Costa,Periurbano,2796,17,Semanal,Transporte,5713,70,1713.9,766,972,3451.9,480,122,311,913,852,1
SOL-000120,51,F,divorciado,Alquilada,2,Selva,Rural,2005,95,Diario,Comercio,3855,76,925.2,68,156,1149.2,470,62,68,600,920,0
SOL-000121,28,M,conviviente,Propia,3,Costa,Urbano,540,72,Diario,Transporte,1062,71,307.98,222,153,682.98,890,39,54,983,658,0
SOL-000122,64,F,conviviente,Alquilada,5,Selva,Urbano,1507,8,Mensual,Servicios,5396,75,1349,1262,1010,3621,1160,132,125,1417,910,1
SOL-000123,23,F,viudo,Familiar,4,Costa,Periurbano,5759,101,Diario,Produccion,7426,56,3267.44,2125,1255,6647.44,960,151,171,1282,733,1
SOL-000124,28,F,conviviente,Propia,6,Selva,Rural,9580,20,Quincenal,Comercio,6890,51,3376.1,1848,785,6009.1,970,307,422,1699,982,1
SOL-000125,49,M,conviviente,Alquilada,4,Sierra,Rural,5149,11,Quincenal,Comercio,9126,73,2464.02,1239,1145,4848.02,750,120,133,1003,773,1
SOL-000126,50,M,casado,Familiar,3,Selva,Urbano,10237,105,Diario,Comercio,8612,60,3444.8,2213,872,6529.8,800,81,250,1131,809,0
SOL-000127,46,F,soltero,Propia,1,Costa,Rural,491,9,Mensual,Produccion,5538,53,2602.86,1219,257,4078.86,430,244,6,680,947,1
SOL-000128,31,M,divorciado,Familiar,6,Selva,Urbano,1931,24,Quincenal,Transporte,2454,63,907.98,235,254,1396.98,1330,54,2,1386,656,0
SOL-000129,41,F,viudo,Propia,3,Costa,Periurbano,7740,54,Diario,Comercio,7343,53,3451.21,718,537,4706.21,790,218,514,1522,745,0
SOL-000130,67,M,soltero,Alquilada,1,Costa,Rural,4897,9,Quincenal,Transporte,3722,18,3052.04,871,227,4150.04,430,168,353,951,804,1
SOL-000131,64,M,casado,Propia,5,Sierra,Urbano,2369,13,Semanal,Produccion,2657,40,1594.2,146,81,1821.2,1180,65,232,1477,651,0
SOL-000132,45,F,divorciado,Alquilada,5,Selva,Urbano,2527,23,Semanal,Produccion,2907,15,2470.95,730,44,3244.95,1160,147,344,1651,995,1
SOL-000133,66,M,casado,Alquilada,3,Costa,Rural,1264,8,Quincenal,Produccion,1267,65,443.45,310,71,824.45,700,44,69,813,702,0
SOL-000134,70,M,soltero,Familiar,1,Selva,Periurbano,530,15,Semanal,Produccion,4077,64,1467.72,1120,515,3102.72,430,124,186,740,992,1
SOL-000135,27,M,soltero,Alquilada,1,Selva,Periurbano,6062,20,Quincenal,Servicios,6224,63,2302.88,1213,834,4349.88,430,193,332,955,870,1
SOL-000136,63,M,conviviente,Familiar,2,Selva,Rural,3657,3,Quincenal,Produccion,5665,75,1416.25,11,450,1877.25,470,72,186,728,828,0
SOL-000137,68,M,conviviente,Propia,5,Sierra,Periurbano,6775,15,Quincenal,Servicios,8891,73,2400.57,253,1295,3948.57,1050,225,458,1733,929,1
SOL-000138,58,M,viudo,Familiar,1,Costa,Rural,543,52,Diario,Transporte,1987,74,516.62,393,164,1073.62,430,51,53,534,762,0
SOL-000139,51,M,soltero,Alquilada,1,Selva,Periurbano,844,19,Quincenal,Servicios,8879,70,2663.7,2005,1352,6020.7,430,120,351,901,901,1
SOL-000140,26,F,casado,Alquilada,1,Costa,Urbano,10528,4,Quincenal,Produccion,8380,35,5447,2364,1639,9450,550,320,297,1167,997,0
SOL-000141,52,M,viudo,Familiar,2,Selva,Urbano,6221,19,Quincenal,Servicios,9354,63,3460.98,1798,1135,6393.98,640,120,635,1395,802,1
SOL-000142,49,M,viudo,Alquilada,5,Costa,Urbano,2267,5,Mensual,Servicios,4355,74,1132.3,735,138,2005.3,1250,103,29,1382,666,0
SOL-000143,39,F,divorciado,Alquilada,6,Sierra,Urbano,3700,17,Semanal,Servicios,9917,67,3272.61,138,922,4332.61,1350,251,574,2175,806,1
SOL-000144,21,F,soltero,Propia,1,Sierra,Periurbano,1026,113,Diario,Servicios,3666,75,916.5,843,356,2115.5,450,81,34,565,662,1
SOL-000145,31,F,divorciado,Propia,6,Costa,Periurbano,676,38,Semanal,Transporte,7375,60,2950,1562,746,5258,1300,211,267,1778,933,1
SOL-000146,66,F,viudo,Familiar,1,Costa,Rural,1904,3,Mensual,Produccion,8400,45,4620,25,1239,5884,430,211,628,1269,880,1
SOL-000147,22,F,casado,Propia,3,Sierra,Urbano,960,37,Diario,Comercio,1384,73,373.68,213,18,604.68,830,47,40,917,804,0
SOL-000148,49,M,divorciado,Alquilada,4,Selva,Rural,919,19,Quincenal,Produccion,1082,66,367.88,193,131,691.88,710,48,15,773,723,0
SOL-000149,53,M,divorciado,Alquilada,4,Costa,Urbano,3418,6,Mensual,Transporte,3624,61,1413.36,422,240,2075.36,1070,129,103,1302,984,0
SOL-000150,33,M,viudo,Familiar,5,Costa,Urbano,6926,18,Quincenal,Servicios,9402,65,3290.7,361,735,4386.7,1250,107,252,1609,741,1
SOL-000151,68,F,casado,Propia,2,Selva,Urbano,3513,75,Diario,Servicios,5141,65,1799.35,300,353,2452.35,640,176,302,1118,880,0
SOL-000152,67,F,soltero,Propia,1,Selva,Periurbano,8290,38,Diario,Produccion,8961,58,3763.62,2560,199,6522.62,430,220,467,1117,852,0
SOL-000153,36,M,soltero,Alquilada,1,Selva,Rural,932,112,Diario,Comercio,1139,15,968.15,306,130,1404.15,350,77,70,497,939,1
SOL-000154,32,M,divorciado,Alquilada,3,Costa,Rural,2437,7,Quincenal,Comercio,4253,67,1403.49,665,21,2089.49,700,55,184,939,895,0
SOL-000155,56,F,casado,Familiar,5,Selva,Periurbano,3633,3,Mensual,Servicios,5771,65,2019.85,595,246,2860.85,1080,112,185,1377,929,0
SOL-000156,67,M,divorciado,Propia,4,Selva,Rural,5469,8,Mensual,Transporte,8770,66,2981.8,45,1052,4078.8,710,245,354,1309,721,1
SOL-000157,37,M,soltero,Alquilada,1,Sierra,Rural,2202,7,Quincenal,Comercio,8584,69,2661.04,492,1315,4468.04,390,80,280,750,981,1
SOL-000158,54,F,casado,Familiar,4,Costa,Periurbano,885,26,Semanal,Comercio,3016,52,1447.68,61,521,2029.68,960,90,179,1229,954,1
SOL-000159,19,M,soltero,Familiar,1,Selva,Rural,2449,27,Semanal,Produccion,5517,70,1655.1,215,279,2149.1,350,59,265,674,799,1
SOL-000160,40,F,soltero,Propia,1,Costa,Urbano,1935,28,Semanal,Comercio,6966,65,2438.1,83,304,2825.1,550,240,288,1078,789,1
SOL-000161,55,F,divorciado,Propia,6,Sierra,Rural,1772,6,Mensual,Comercio,5314,74,1381.64,338,600,2319.64,1020,98,152,1270,924,1
SOL-000162,66,F,soltero,Familiar,1,Selva,Urbano,1133,45,Semanal,Comercio,2991,77,687.93,156,183,1026.93,490,54,112,656,920,1
SOL-000163,28,M,soltero,Familiar,1,Selva,Periurbano,4804,9,Quincenal,Produccion,5968,53,2804.96,1453,270,4527.96,430,187,396,1013,778,1
SOL-000164,59,F,divorciado,Familiar,2,Sierra,Periurbano,2485,71,Diario,Produccion,3289,55,1480.05,284,378,2142.05,590,83,203,876,650,0
SOL-000165,37,F,soltero,Familiar,1,Selva,Periurbano,1446,69,Diario,Comercio,1496,56,658.24,226,122,1006.24,430,59,50,539,689,0
SOL-000166,48,M,soltero,Familiar,1,Sierra,Rural,2823,98,Diario,Comercio,4729,58,1986.18,795,905,3686.18,390,55,301,746,816,1
SOL-000167,41,F,divorciado,Familiar,1,Costa,Urbano,10629,15,Semanal,Comercio,9835,42,5704.3,2537,997,9238.3,550,415,117,1082,814,1
SOL-000168,37,F,divorciado,Familiar,3,Costa,Urbano,669,15,Quincenal,Transporte,7801,76,1872.24,1727,1200,4799.24,890,167,253,1310,836,1
SOL-000169,49,F,conviviente,Familiar,6,Selva,Rural,1834,48,Diario,Comercio,3622,35,2354.3,1085,701,4140.3,970,87,347,1404,929,1
SOL-000170,19,F,soltero,Propia,1,Costa,Rural,2412,116,Diario,Transporte,3572,52,1714.56,970,131,2815.56,430,84,26,540,765,1
SOL-000171,64,F,soltero,Propia,1,Costa,Rural,5414,12,Quincenal,Comercio,6729,59,2758.89,85,968,3811.89,430,79,380,889,903,1
SOL-000172,24,F,conviviente,Propia,4,Costa,Periurbano,3990,19,Quincenal,Produccion,7384,61,2879.76,1779,53,4711.76,960,131,365,1456,819,1
SOL-000173,23,M,viudo,Familiar,1,Costa,Periurbano,648,11,Mensual,Transporte,1123,70,336.9,325,114,775.9,480,37,64,581,883,0
SOL-000174,21,F,soltero,Alquilada,1,Sierra,Periurbano,1164,8,Quincenal,Transporte,2657,66,903.38,373,169,1445.38,450,73,59,582,790,1
SOL-000175,47,M,conviviente,Propia,3,Sierra,Periurbano,393,57,Diario,Transporte,5438,43,3099.66,52,74,3225.66,740,130,57,927,723,1
