ID,edad,genero,estado_civil,tipo_vivienda,integrantes,zona_geografica,tipo_zona,monto_solicitado,plazo,periodo,ingreso_adicional,ingreso_terceros,sector_economico,costo_inversion,ingreso_mensual_neto,gasto_basico,gastos_operativos,gastos_financieros,deuda_total_financiera,puntaje_experian,aprobado
SOL-000065,25,F,soltero,Propia,1,Selva,Urbano,3590,8,Mensual,107,90,Comercio,42,1379.24,490,128,28,56,727,1
SOL-000066,55,F,soltero,Propia,1,Selva,Periurbano,4544,20,Semanal,437,802,Servicios,71,1588.62,430,138,72,1584,682,1
SOL-000067,39,F,viudo,Propia,2,Sierra,Rural,2187,7,Mensual,1336,790,Transporte,74,1695.46,520,152,228,4104,582,1
SOL-000068,36,F,viudo,Propia,5,Costa,Periurbano,1399,22,Quincenal,1504,740,Transporte,77,2042.4,1130,62,203,5481,571,1
SOL-000069,20,F,soltero,Alquilada,1,Selva,Urbano,4379,3,Mensual,1193,214,Comercio,63,2732.08,490,90,174,3132,881,1
SOL-000070,27,M,conviviente,Familiar,2,Selva,Urbano,3224,41,Diario,1088,863,Servicios,70,1302.3,640,64,164,2952,628,1
SOL-000071,33,M,conviviente,Alquilada,2,Selva,Urbano,487,6,Mensual,291,392,Servicios,65,3248.35,640,162,146,3504,713,1
SOL-000072,61,M,divorciado,Familiar,2,Sierra,Urbano,2109,15,Quincenal,698,615,Comercio,52,2676.96,670,205,492,14760,360,1
SOL-000073,25,F,divorciado,Familiar,6,Sierra,Rural,412,5,Mensual,300,113,Produccion,71,294.06,1020,44,32,864,592,0
SOL-000074,64,M,viudo,Familiar,1,Sierra,Rural,464,57,Diario,181,5,Servicios,55,475.2,390,50,0,0,791,1
SOL-000075,57,F,divorciado,Alquilada,1,Costa,Rural,2907,5,Quincenal,745,423,Produccion,72,1443.4,430,57,36,972,950,1
SOL-000076,63,F,soltero,Alquilada,1,Costa,Periurbano,3684,94,Diario,74,455,Comercio,54,3094.42,480,87,246,492,780,1
SOL-000077,46,F,soltero,Propia,1,Selva,Rural,7171,9,Quincenal,1173,771,Produccion,66,2410.94,350,191,171,4104,966,1
SOL-000078,32,F,soltero,Propia,1,Selva,Rural,7294,75,Diario,1323,144,Produccion,40,3597,350,111,629,15096,421,1
SOL-000079,59,M,casado,Alquilada,4,Selva,Urbano,847,3,Quincenal,484,401,Comercio,70,719.4,990,62,50,200,852,1
SOL-000080,49,M,soltero,Familiar,1,Sierra,Rural,696,12,Mensual,1114,456,Comercio,74,1196,390,71,171,342,876,1
SOL-000081,58,M,divorciado,Alquilada,2,Selva,Periurbano,1074,2,Quincenal,586,420,Comercio,85,623.25,580,59,58,2088,642,1
SOL-000082,29,M,soltero,Alquilada,1,Selva,Periurbano,1416,11,Semanal,319,244,Produccion,15,3640.55,430,167,599,2995,694,1
SOL-000083,19,M,soltero,Familiar,1,Sierra,Urbano,3476,6,Mensual,1605,707,Transporte,18,4486.22,520,352,780,1560,841,1
SOL-000084,26,F,divorciado,Familiar,2,Selva,Rural,2106,57,Diario,682,48,Servicios,64,2033.28,470,194,361,2888,812,1
SOL-000085,47,F,viudo,Alquilada,2,Costa,Urbano,5321,9,Mensual,1654,216,Transporte,60,2853.6,710,236,129,2709,775,1
SOL-000086,31,F,viudo,Familiar,4,Sierra,Rural,983,33,Semanal,633,111,Servicios,70,685.8,750,66,72,864,911,1
SOL-000087,35,M,casado,Propia,4,Sierra,Urbano,1826,4,Semanal,629,281,Servicios,73,1149.93,1000,98,49,343,708,1
SOL-000088,52,F,viudo,Alquilada,5,Selva,Urbano,6935,72,Diario,657,636,Produccion,25,5340.75,1160,70,697,3485,783,1
SOL-000089,29,F,casado,Alquilada,5,Costa,Rural,15771,42,Semanal,692,412,Transporte,15,5446.8,1000,201,305,5490,743,1
SOL-000090,47,M,conviviente,Familiar,5,Sierra,Periurbano,417,44,Semanal,110,21,Transporte,73,291.06,1050,29,17,51,810,0
SOL-000091,70,F,casado,Familiar,2,Costa,Rural,2296,118,Diario,2045,497,Servicios,70,2094.6,560,201,19,95,694,1
SOL-000092,64,F,divorciado,Familiar,3,Costa,Periurbano,549,6,Quincenal,1621,979,Transporte,61,2143.83,790,176,68,612,767,1
SOL-000093,51,M,divorciado,Alquilada,1,Costa,Periurbano,5362,43,Diario,1444,742,Transporte,68,2530.24,480,56,178,1068,988,1
SOL-000094,26,F,casado,Alquilada,3,Selva,Urbano,3636,20,Semanal,1264,1379,Produccion,70,2449.8,800,205,145,2610,867,1
SOL-000095,30,M,casado,Familiar,4,Costa,Rural,1185,16,Semanal,899,244,Servicios,56,1676.4,840,106,239,2390,862,1
SOL-000096,49,F,conviviente,Familiar,1,Costa,Periurbano,865,86,Diario,1337,385,Transporte,68,1576.96,480,156,49,1617,680,1
SOL-000097,27,M,casado,Propia,2,Selva,Periurbano,3685,24,Quincenal,607,387,Transporte,60,1751.6,580,118,134,1072,672,1
SOL-000098,25,F,conviviente,Propia,6,Selva,Rural,4932,42,Semanal,676,397,Produccion,68,1678.72,970,146,188,2256,901,1
SOL-000099,63,F,divorciado,Familiar,2,Costa,Rural,1666,9,Mensual,370,1160,Comercio,35,4226.95,560,90,160,4320,660,1
SOL-000100,64,M,conviviente,Propia,2,Sierra,Periurbano,2204,5,Quincenal,571,252,Produccion,55,1492.2,590,139,167,1837,738,1
SOL-000101,61,M,divorciado,Familiar,6,Sierra,Periurbano,2768,86,Diario,833,389,Servicios,65,1852.9,1210,71,204,1224,680,1
SOL-000102,31,M,soltero,Familiar,1,Selva,Periurbano,8558,3,Mensual,74,981,Produccion,61,2958.15,430,61,61,1464,903,1
SOL-000103,69,F,soltero,Familiar,1,Sierra,Periurbano,475,114,Diario,1069,343,Servicios,68,1547.52,450,69,240,1440,748,1
SOL-000104,50,M,viudo,Propia,3,Sierra,Periurbano,1031,21,Quincenal,175,72,Servicios,25,886.5,740,55,115,230,782,0
SOL-000105,58,M,divorciado,Alquilada,3,Costa,Rural,1177,22,Quincenal,688,1210,Produccion,69,1912.08,700,173,66,1386,922,1
SOL-000106,39,M,viudo,Propia,2,Selva,Rural,1521,105,Diario,2462,603,Comercio,68,2748.48,470,195,39,156,693,1
SOL-000107,36,M,casado,Alquilada,1,Selva,Rural,590,36,Diario,165,535,Produccion,63,1100.75,350,67,134,1072,654,1
SOL-000108,31,F,soltero,Propia,1,Selva,Rural,6454,3,Quincenal,685,1219,Produccion,69,2240.37,350,116,268,5628,591,1
SOL-000109,48,M,casado,Propia,1,Selva,Periurbano,310,49,Semanal,82,70,Servicios,65,380.1,430,45,22,528,937,0
SOL-000110,53,M,conviviente,Alquilada,6,Selva,Rural,1381,9,Mensual,442,557,Comercio,73,811.35,970,79,77,2541,527,1
SOL-000111,29,M,casado,Familiar,2,Selva,Periurbano,1461,47,Semanal,167,387,Transporte,70,841.2,580,73,57,570,760,1
SOL-000112,35,F,conviviente,Familiar,5,Costa,Periurbano,2713,11,Mensual,651,84,Produccion,52,1732.32,1130,129,40,480,710,1
SOL-000113,26,M,divorciado,Propia,4,Selva,Periurbano,4145,8,Quincenal,2140,1105,Servicios,66,2643.16,920,220,312,1872,970,1
SOL-000114,57,M,viudo,Alquilada,3,Sierra,Periurbano,553,44,Semanal,363,297,Servicios,68,798.08,740,59,16,96,930,1
SOL-000115,36,F,viudo,Propia,4,Selva,Urbano,2005,12,Mensual,1841,1216,Comercio,53,3023.04,990,81,453,4077,666,1
SOL-000116,42,F,divorciado,Familiar,3,Costa,Urbano,3676,114,Diario,1386,904,Transporte,40,3580.8,890,284,334,1336,907,1
SOL-000117,44,M,conviviente,Alquilada,3,Sierra,Rural,1733,21,Quincenal,137,870,Transporte,63,2178.93,630,87,162,648,728,1
SOL-000118,44,F,casado,Alquilada,3,Costa,Periurbano,4242,46,Semanal,691,440,Transporte,60,2190.4,790,192,13,104,701,1
SOL-000119,50,F,divorciado,Propia,1,Selva,Rural,424,43,Diario,2801,549,Servicios,74,2496,350,102,368,3680,807,1
SOL-000120,35,F,viudo,Alquilada,6,Sierra,Urbano,8734,10,Mensual,811,924,Comercio,40,3049.8,1350,242,180,1800,862,1
SOL-000121,44,M,casado,Familiar,3,Selva,Periurbano,2328,10,Mensual,1013,441,Transporte,60,1384.8,740,59,179,3222,640,1
SOL-000122,30,F,conviviente,Alquilada,4,Costa,Rural,6300,14,Quincenal,1029,252,Comercio,58,2125.62,840,97,302,10872,450,1
SOL-000123,41,M,viudo,Alquilada,2,Selva,Periurbano,5790,88,Diario,1017,623,Comercio,18,5984.36,580,555,127,381,821,1
SOL-000124,70,M,soltero,Familiar,1,Sierra,Periurbano,4007,11,Quincenal,1171,810,Servicios,71,1771.03,450,54,162,2916,962,1
SOL-000125,65,F,viudo,Alquilada,1,Selva,Urbano,1698,5,Semanal,477,387,Produccion,67,2593.47,490,66,173,5190,646,1
SOL-000126,19,F,soltero,Propia,1,Sierra,Urbano,7950,11,Quincenal,658,673,Produccion,56,3051.84,520,89,24,96,696,1
SOL-000127,64,F,conviviente,Propia,5,Sierra,Rural,6717,44,Semanal,1156,1008,Servicios,61,2890.68,890,81,230,690,992,1
SOL-000128,19,F,soltero,Familiar,1,Selva,Urbano,689,44,Semanal,86,119,Produccion,71,308.27,490,41,0,0,793,0
SOL-000129,35,F,soltero,Familiar,1,Sierra,Urbano,1895,3,Quincenal,1239,1409,Comercio,75,2000,520,90,148,4884,560,1
SOL-000130,30,F,divorciado,Alquilada,6,Sierra,Rural,2597,38,Semanal,7,315,Transporte,40,1806,1020,66,142,1136,729,1
SOL-000131,53,F,viudo,Familiar,5,Costa,Periurbano,5110,17,Quincenal,336,780,Produccion,42,4662.62,1130,105,753,1506,749,1
SOL-000132,26,M,casado,Alquilada,6,Selva,Periurbano,2031,11,Mensual,380,1209,Transporte,72,1850.8,1240,156,82,2460,901,1
SOL-000133,23,M,divorciado,Propia,2,Selva,Rural,704,13,Quincenal,118,75,Servicios,62,527.06,470,50,40,1440,507,0
SOL-000134,57,M,divorciado,Familiar,1,Costa,Urbano,6422,114,Diario,1581,1299,Transporte,40,4228.8,550,215,640,7680,890,1
SOL-000135,33,F,casado,Propia,6,Costa,Rural,1065,15,Quincenal,259,341,Transporte,52,822.72,1150,52,119,1428,922,0
SOL-000136,55,F,divorciado,Familiar,2,Costa,Rural,881,10,Mensual,887,741,Produccion,32,3617.6,560,208,214,4708,689,1
SOL-000137,57,M,soltero,Propia,1,Selva,Urbano,826,33,Diario,308,83,Produccion,73,463.59,490,47,45,900,652,1
SOL-000138,31,M,viudo,Familiar,6,Sierra,Urbano,1943,74,Diario,1260,719,Servicios,70,1889.1,1350,188,370,7770,308,1
SOL-000139,34,M,viudo,Familiar,4,Sierra,Urbano,12657,46,Semanal,524,1602,Comercio,32,6253.28,1000,299,572,6864,942,1
SOL-000140,67,F,soltero,Alquilada,1,Sierra,Periurbano,4688,14,Quincenal,1012,221,Transporte,59,1938.89,450,98,187,6732,514,1
SOL-000141,48,M,conviviente,Alquilada,4,Sierra,Urbano,1470,47,Diario,1240,527,Produccion,74,1729.26,1000,125,246,1968,832,1
SOL-000142,45,F,soltero,Alquilada,1,Costa,Urbano,853,9,Mensual,790,355,Servicios,67,1919.61,550,100,269,6456,557,1
SOL-000143,26,F,casado,Alquilada,1,Selva,Rural,1043,110,Diario,88,78,Produccion,61,1045.59,350,61,3,12,746,1
SOL-000144,52,F,divorciado,Familiar,1,Sierra,Urbano,1618,10,Quincenal,422,706,Servicios,80,1596.6,520,57,78,780,790,1
SOL-000145,68,M,conviviente,Alquilada,6,Costa,Rural,3502,11,Quincenal,1331,625,Produccion,76,2362.8,1150,104,182,4368,924,1
SOL-000146,38,M,divorciado,Familiar,3,Selva,Rural,5655,11,Quincenal,450,546,Servicios,63,1981.72,590,64,39,1404,959,1
SOL-000147,59,F,casado,Familiar,2,Selva,Urbano,3329,7,Mensual,386,268,Comercio,75,1140,640,72,199,2388,512,1
SOL-000148,21,F,soltero,Propia,1,Costa,Rural,2285,26,Semanal,856,944,Servicios,77,1285.93,430,95,203,1827,691,1
SOL-000149,57,M,divorciado,Propia,4,Sierra,Rural,4264,7,Mensual,382,189,Servicios,25,4635,750,174,175,175,713,1
SOL-000150,46,M,casado,Familiar,2,Sierra,Periurbano,428,3,Quincenal,371,551,Comercio,57,3159.64,590,97,602,2408,990,1
SOL-000151,48,F,viudo,Familiar,3,Selva,Periurbano,1437,92,Diario,896,139,Produccion,78,781.88,740,63,43,473,676,1
SOL-000152,46,M,soltero,Familiar,1,Selva,Periurbano,6791,12,Mensual,19,1157,Transporte,30,5230.4,430,74,500,3000,725,1
SOL-000153,33,F,soltero,Propia,1,Selva,Rural,2427,9,Mensual,466,1049,Comercio,58,2220.96,350,86,392,2744,787,1
SOL-000154,52,M,divorciado,Propia,6,Sierra,Urbano,9478,7,Mensual,1399,55,Comercio,57,3489.45,1350,244,303,2424,818,1
SOL-000155,28,F,viudo,Alquilada,2,Costa,Urbano,706,62,Diario,65,189,Comercio,55,457.2,710,47,9,126,817,0
SOL-000156,25,F,conviviente,Alquilada,1,Sierra,Periurbano,4464,7,Mensual,910,229,Servicios,56,3389.76,450,215,166,1992,859,1
SOL-000157,70,M,casado,Familiar,2,Costa,Rural,866,71,Diario,401,662,Transporte,75,1025.75,560,85,12,120,843,1
SOL-000158,27,F,viudo,Familiar,2,Costa,Periurbano,6468,44,Semanal,1762,1501,Comercio,59,3906.89,630,141,439,5268,966,1
SOL-000159,22,F,casado,Propia,6,Selva,Periurbano,895,42,Semanal,305,62,Produccion,68,372.16,1240,41,26,234,675,0
SOL-000160,28,F,divorciado,Familiar,2,Sierra,Urbano,4286,11,Semanal,1155,1127,Servicios,40,3726,670,369,709,19143,443,1
SOL-000161,45,F,viudo,Familiar,4,Selva,Urbano,2833,15,Quincenal,1371,1451,Comercio,68,2561.6,990,201,386,3088,761,1
SOL-000162,20,M,soltero,Alquilada,1,Costa,Rural,1682,38,Diario,1058,1364,Transporte,53,3587.51,430,232,689,24804,26,1
SOL-000163,38,F,conviviente,Alquilada,1,Sierra,Periurbano,2413,21,Semanal,738,665,Transporte,65,1355.55,450,61,84,1512,803,1
SOL-000164,59,M,conviviente,Familiar,2,Costa,Rural,3906,12,Mensual,630,13,Produccion,35,1907.75,560,92,305,2135,913,1
SOL-000165,44,F,soltero,Alquilada,1,Selva,Urbano,355,12,Quincenal,457,232,Transporte,71,573.91,490,56,55,495,665,1
SOL-000166,59,F,divorciado,Familiar,1,Sierra,Rural,717,80,Diario,690,436,Transporte,73,925.02,390,60,20,280,852,1
SOL-000167,38,M,conviviente,Alquilada,6,Costa,Rural,6356,3,Quincenal,2097,473,Transporte,64,3263.76,1150,103,476,11424,551,1
SOL-000168,61,M,soltero,Propia,1,Costa,Rural,1218,11,Mensual,48,14,Transporte,60,635.2,430,60,40,640,779,0
SOL-000169,31,F,conviviente,Propia,4,Costa,Periurbano,332,9,Mensual,240,74,Transporte,65,382.9,960,45,26,624,889,0
SOL-000170,52,M,soltero,Alquilada,1,Sierra,Urbano,5347,27,Semanal,573,557,Transporte,74,2532.92,520,202,437,10488,326,1
SOL-000171,35,F,conviviente,Propia,2,Costa,Urbano,2854,13,Semanal,149,39,Comercio,69,1280.92,710,122,70,420,845,1
SOL-000172,26,M,divorciado,Propia,2,Costa,Rural,2080,104,Diario,1083,666,Produccion,50,2512.5,560,150,252,1008,930,1
SOL-000173,44,F,divorciado,Alquilada,2,Selva,Rural,1446,10,Mensual,546,457,Transporte,73,670.95,470,53,115,690,934,1
SOL-000174,19,F,soltero,Propia,1,Selva,Periurbano,5240,66,Diario,645,688,Servicios,70,2514.3,430,176,52,312,669,1
SOL-000175,65,F,casado,Propia,5,Selva,Rural,4838,3,Mensual,805,292,Produccion,30,3358.6,840,258,234,936,888,1
SOL-000176,35,F,divorciado,Familiar,6,Costa,Rural,3921,111,Diario,442,504,Transporte,65,3194.1,1150,195,545,5995,965,1
SOL-000177,47,M,divorciado,Familiar,4,Sierra,Rural,6035,9,Quincenal,1552,716,Transporte,67,2592.15,750,60,294,2940,890,1
SOL-000178,20,M,soltero,Alquilada,1,Selva,Periurbano,383,67,Diario,1601,986,Comercio,63,2120.47,430,160,65,520,993,1
SOL-000179,56,F,soltero,Alquilada,1,Costa,Periurbano,646,44,Diario,1678,69,Produccion,61,2317.38,480,52,380,760,833,1
SOL-000180,28,M,viudo,Propia,2,Sierra,Urbano,3066,8,Mensual,1235,250,Servicios,73,1171.26,670,68,44,264,986,1
SOL-000181,53,F,casado,Alquilada,1,Costa,Rural,426,91,Diario,494,251,Produccion,76,453.12,430,49,83,249,976,1
SOL-000182,32,F,conviviente,Alquilada,2,Costa,Urbano,352,59,Diario,498,183,Transporte,70,523.2,710,50,24,360,754,1
SOL-000183,62,F,conviviente,Propia,2,Costa,Rural,2931,63,Diario,247,875,Transporte,65,2307.55,560,140,230,2300,672,1
SOL-000184,32,M,soltero,Familiar,1,Costa,Urbano,1177,19,Quincenal,522,390,Transporte,74,1124.24,550,95,121,363,805,1
SOL-000185,36,F,divorciado,Propia,3,Costa,Urbano,1658,13,Quincenal,406,335,Produccion,65,660.1,890,57,70,420,738,0
SOL-000186,22,F,soltero,Alquilada,1,Sierra,Urbano,361,20,Semanal,179,572,Comercio,41,5036.24,520,349,381,11430,580,1
SOL-000187,69,M,divorciado,Alquilada,1,Selva,Urbano,3400,6,Mensual,609,36,Produccion,58,2503.62,490,184,1,14,807,1
SOL-000188,59,F,soltero,Alquilada,1,Selva,Periurbano,5089,4,Quincenal,902,401,Produccion,35,2261.35,430,193,8,96,668,1
SOL-000189,44,M,casado,Propia,5,Costa,Rural,1571,15,Quincenal,644,1061,Servicios,77,1224.52,1000,92,189,756,730,1
SOL-000190,34,F,conviviente,Familiar,2,Selva,Urbano,662,5,Mensual,811,432,Transporte,63,1333.48,640,118,37,296,901,1
SOL-000191,64,F,conviviente,Familiar,1,Costa,Urbano,6857,4,Mensual,1382,1131,Comercio,67,3242.25,550,50,171,1026,779,1
SOL-000192,68,M,soltero,Propia,1,Sierra,Periurbano,4355,14,Semanal,1521,408,Comercio,74,2072.46,450,116,194,4074,676,1
SOL-000193,56,F,conviviente,Familiar,2,Sierra,Rural,1550,8,Mensual,157,429,Servicios,69,1000.99,520,95,167,5511,469,1
SOL-000194,22,M,divorciado,Alquilada,5,Costa,Urbano,2815,23,Quincenal,1340,337,Comercio,65,2474.85,1250,231,175,5775,544,1
