ID,edad,genero,estado_civil,tipo_vivienda,integrantes,zona_geografica,tipo_zona,monto_solicitado,plazo,periodo,ingreso_adicional,ingreso_terceros,sector_economico,ingreso_mensual_bruto,costo_inversion,ingreso_mensual_neto,gasto_basico,gastos_operativos,gastos_financieros,deuda_total_financiera,puntaje_experian,aprobado
SOL-000112,29,F,casado,Alquilada,3,Selva,Periurbano,451,78,Diario,683,1445,Transporte,9403,70,2820.9,740,89,66,2772,924,1
SOL-000113,58,F,casado,Propia,4,Sierra,Rural,8547,80,Diario,2910,2025,Comercio,7833,63,2898.21,750,84,826,39648,232,0
SOL-000114,30,F,conviviente,Familiar,2,Sierra,Rural,4819,9,Quincenal,522,2088,Servicios,8910,10,8019,520,640,2078,99744,124,0
SOL-000115,27,F,divorciado,Familiar,4,Costa,Urbano,5738,5,Mensual,1150,2346,Servicios,6097,60,2438.8,1070,194,678,20340,267,0
SOL-000116,51,M,conviviente,Propia,6,Selva,Urbano,1934,69,Diario,1549,117,Transporte,8272,55,3722.4,1330,98,280,8960,604,1
SOL-000117,58,F,soltero,Familiar,1,Selva,Periurbano,4046,96,Diario,1177,117,Comercio,7811,65,2733.85,430,216,638,35728,153,0
SOL-000118,50,M,casado,Familiar,4,Costa,Periurbano,628,118,Diario,3203,574,Comercio,4811,60,1924.4,960,109,486,20412,204,0
SOL-000119,50,F,conviviente,Propia,3,Sierra,Periurbano,836,21,Semanal,662,291,Transporte,1592,34,1050.72,740,80,182,7644,184,0
SOL-000120,22,F,soltero,Propia,1,Selva,Periurbano,1837,6,Mensual,1484,1750,Transporte,4220,69,1308.2,430,109,119,4760,633,1
SOL-000121,21,F,soltero,Familiar,1,Sierra,Rural,8292,14,Quincenal,1390,2984,Servicios,8708,63,3221.96,390,268,19,380,867,1
SOL-000122,57,F,soltero,Propia,1,Sierra,Urbano,2185,46,Diario,3554,1413,Transporte,6508,61,2538.12,520,210,667,28014,149,0
SOL-000123,69,F,viudo,Familiar,6,Selva,Periurbano,1244,101,Diario,1355,642,Transporte,2380,66,809.2,1240,65,231,8085,59,0
SOL-000124,19,M,soltero,Alquilada,1,Sierra,Urbano,1746,6,Mensual,325,734,Transporte,2186,64,786.96,520,67,232,2784,551,0
SOL-000125,68,F,viudo,Alquilada,1,Selva,Rural,3451,118,Diario,110,1169,Produccion,3089,59,1266.49,350,122,361,12635,88,0
SOL-000126,37,F,divorciado,Propia,6,Costa,Periurbano,3588,6,Mensual,2568,2230,Produccion,8022,72,2246.16,1300,214,231,5775,605,1
SOL-000127,18,F,soltero,Alquilada,1,Selva,Urbano,3255,64,Diario,2357,570,Servicios,3706,69,1148.86,490,109,50,750,807,1
SOL-000128,22,F,divorciado,Propia,3,Sierra,Periurbano,2437,86,Diario,2069,490,Produccion,3370,55,1516.5,740,63,425,6375,453,0
SOL-000129,35,F,soltero,Alquilada,1,Sierra,Rural,10206,52,Semanal,4525,3705,Produccion,8529,60,3411.6,390,255,843,47208,116,0
SOL-000130,44,F,divorciado,Propia,2,Costa,Rural,12196,27,Semanal,3841,3859,Servicios,9993,56,4396.92,560,109,615,12915,547,1
SOL-000131,31,M,conviviente,Propia,2,Sierra,Periurbano,3085,30,Diario,2288,10,Comercio,5451,80,1090.2,590,98,322,6440,345,0
SOL-000132,36,F,divorciado,Familiar,5,Sierra,Rural,2590,100,Diario,3391,1558,Servicios,5159,59,2115.19,890,83,319,15312,166,0
SOL-000133,53,F,casado,Propia,1,Sierra,Rural,432,6,Mensual,1735,1539,Produccion,3496,53,1643.12,390,102,456,9576,350,1
SOL-000134,33,F,viudo,Propia,5,Sierra,Rural,9304,11,Mensual,1452,1742,Produccion,6457,34,4261.62,890,151,604,7248,704,1
SOL-000135,24,M,divorciado,Propia,4,Sierra,Urbano,6790,13,Quincenal,3899,482,Comercio,9714,71,2817.06,1000,202,528,12672,320,0
SOL-000136,39,M,viudo,Alquilada,3,Selva,Urbano,722,34,Semanal,599,2381,Servicios,6975,73,1883.25,800,56,229,2748,680,1
SOL-000137,47,F,casado,Alquilada,6,Sierra,Periurbano,1900,25,Semanal,4335,1608,Comercio,7930,59,3251.3,1210,181,752,9024,536,1
SOL-000138,48,M,divorciado,Alquilada,1,Sierra,Rural,2321,45,Semanal,1665,106,Comercio,2979,42,1727.82,390,95,161,5796,513,1
SOL-000139,51,F,divorciado,Alquilada,3,Sierra,Urbano,1464,57,Diario,381,455,Comercio,1700,64,612,830,54,175,1575,510,0
SOL-000140,25,M,viudo,Familiar,2,Selva,Urbano,1552,20,Quincenal,2179,735,Servicios,3129,60,1251.6,640,86,270,4320,529,1
SOL-000141,58,F,soltero,Alquilada,1,Costa,Urbano,2034,94,Diario,852,1,Produccion,1329,40,797.4,550,57,233,2097,630,0
SOL-000142,64,M,conviviente,Propia,1,Sierra,Rural,2039,40,Diario,2011,529,Transporte,4196,18,3440.72,390,331,556,15568,319,0
SOL-000143,38,M,viudo,Familiar,2,Sierra,Periurbano,7278,114,Diario,5734,3496,Transporte,8535,62,3243.3,590,171,618,25956,196,0
SOL-000144,43,F,casado,Alquilada,5,Selva,Urbano,624,27,Semanal,385,616,Comercio,2665,72,746.2,1160,56,87,2088,638,0
SOL-000145,62,M,divorciado,Propia,3,Sierra,Periurbano,429,4,Mensual,916,743,Produccion,1800,41,1062,740,63,83,3320,640,1
SOL-000146,67,F,casado,Familiar,1,Costa,Periurbano,1809,73,Diario,852,308,Servicios,1876,66,637.84,480,63,168,5376,114,0
SOL-000147,60,F,soltero,Propia,1,Selva,Rural,1249,39,Semanal,530,770,Servicios,9097,66,3092.98,350,62,50,450,982,1
SOL-000148,37,M,soltero,Alquilada,1,Sierra,Urbano,537,12,Mensual,406,83,Produccion,2074,65,725.9,520,50,122,3660,306,0
SOL-000149,39,M,conviviente,Familiar,1,Sierra,Periurbano,828,3,Mensual,298,582,Servicios,1378,67,454.74,450,50,128,5376,85,0
SOL-000150,22,M,conviviente,Propia,2,Selva,Periurbano,347,9,Semanal,1119,1625,Servicios,9927,73,2680.29,580,130,71,1491,819,1
SOL-000151,70,M,conviviente,Familiar,4,Selva,Rural,4094,22,Quincenal,4604,3023,Transporte,8948,70,2684.4,710,57,577,18464,187,1
SOL-000152,61,M,casado,Propia,2,Costa,Rural,4755,39,Diario,2083,2866,Servicios,7529,75,1882.25,560,81,140,2800,752,0
SOL-000153,30,M,soltero,Alquilada,1,Costa,Periurbano,498,8,Quincenal,876,58,Comercio,1471,64,529.56,480,50,57,3192,103,0
SOL-000154,21,M,soltero,Propia,1,Sierra,Rural,1363,33,Semanal,526,852,Transporte,1992,74,517.92,390,50,139,3336,260,0
SOL-000155,37,F,divorciado,Alquilada,1,Selva,Rural,2396,9,Mensual,871,918,Produccion,3184,73,859.68,350,72,67,2144,599,1
SOL-000156,29,F,conviviente,Propia,5,Selva,Rural,9133,18,Semanal,4525,2217,Servicios,8993,62,3417.34,840,130,581,13944,315,0
SOL-000157,38,F,conviviente,Propia,2,Costa,Rural,4402,15,Quincenal,1942,626,Transporte,3703,15,3147.55,560,242,627,25080,165,0
SOL-000158,53,F,conviviente,Alquilada,2,Sierra,Rural,3964,117,Diario,323,2024,Transporte,4157,68,1330.24,520,53,289,16184,41,0
SOL-000159,24,M,casado,Alquilada,3,Costa,Urbano,4138,6,Mensual,479,3394,Comercio,9915,68,3172.8,890,264,115,4025,738,1
SOL-000160,63,F,viudo,Familiar,6,Sierra,Urbano,13570,34,Diario,1603,1586,Produccion,9659,15,8210.15,1350,561,908,8172,862,0
SOL-000161,52,M,viudo,Propia,5,Selva,Periurbano,2900,9,Semanal,1391,359,Transporte,2756,58,1157.52,1080,58,274,13152,112,0
SOL-000162,47,F,casado,Alquilada,1,Costa,Urbano,4077,2,Quincenal,3412,1208,Comercio,7543,40,4525.8,550,239,965,28950,262,0
SOL-000163,33,M,casado,Familiar,1,Sierra,Urbano,1583,8,Mensual,3281,1687,Transporte,7307,56,3215.08,520,122,801,19224,367,1
SOL-000164,27,F,conviviente,Propia,1,Costa,Periurbano,1692,32,Semanal,376,2209,Servicios,6294,72,1762.32,480,118,323,5168,645,1
SOL-000165,36,F,viudo,Alquilada,5,Costa,Periurbano,5818,9,Mensual,5200,2954,Produccion,9286,70,2785.8,1130,79,213,7455,585,1
SOL-000166,38,M,divorciado,Alquilada,6,Sierra,Periurbano,9284,4,Mensual,1302,443,Servicios,9132,41,5387.88,1210,520,1612,38688,34,0
SOL-000167,43,M,divorciado,Propia,6,Costa,Periurbano,3209,5,Semanal,1566,919,Servicios,3861,55,1737.45,1300,85,343,4116,506,0
SOL-000168,65,F,viudo,Familiar,4,Selva,Urbano,1690,103,Diario,1826,500,Produccion,2924,61,1140.36,990,112,183,4392,632,0
SOL-000169,67,M,viudo,Alquilada,2,Costa,Urbano,1784,12,Quincenal,1083,277,Comercio,2387,69,739.97,710,51,20,840,693,1
SOL-000170,67,F,divorciado,Propia,3,Selva,Rural,3062,11,Mensual,63,1473,Servicios,3692,63,1366.04,590,124,385,10780,252,0
SOL-000171,38,F,conviviente,Familiar,1,Sierra,Urbano,1013,5,Semanal,3324,1014,Produccion,7131,58,2995.02,520,112,647,5823,679,1
SOL-000172,68,M,divorciado,Familiar,2,Sierra,Urbano,3476,12,Mensual,92,2256,Produccion,4790,68,1532.8,670,96,243,7290,429,0
SOL-000173,31,M,soltero,Alquilada,1,Costa,Urbano,1222,38,Semanal,1144,324,Servicios,1635,70,490.5,550,49,142,6816,176,0
SOL-000174,50,F,divorciado,Familiar,2,Costa,Rural,1940,49,Semanal,1182,246,Comercio,4371,60,1748.4,560,72,186,10416,428,0
SOL-000175,47,F,soltero,Familiar,1,Costa,Rural,1086,60,Diario,786,10,Servicios,1643,75,410.75,430,48,68,2856,251,0
SOL-000176,26,F,casado,Familiar,6,Sierra,Urbano,1758,18,Quincenal,973,919,Comercio,2342,63,866.54,1350,80,207,2484,558,0
SOL-000177,43,M,divorciado,Familiar,3,Sierra,Periurbano,2441,68,Diario,1964,1492,Transporte,3158,74,821.08,740,82,244,5856,85,0
SOL-000178,41,M,divorciado,Alquilada,1,Sierra,Urbano,4325,11,Mensual,517,175,Servicios,6047,76,1451.28,520,77,98,4704,512,0
SOL-000179,24,F,soltero,Alquilada,1,Costa,Urbano,2729,8,Mensual,5804,306,Servicios,8916,68,2853.12,550,78,721,8652,621,1
SOL-000180,41,F,conviviente,Propia,4,Selva,Urbano,3709,8,Mensual,5871,3270,Produccion,9343,30,6540.1,990,437,274,5480,946,1
SOL-000181,21,F,soltero,Propia,1,Costa,Periurbano,7409,10,Quincenal,3522,879,Produccion,8163,40,4897.8,480,438,557,19495,588,1
SOL-000182,18,M,soltero,Propia,1,Selva,Rural,3867,9,Quincenal,3346,1409,Produccion,8918,56,3923.92,350,155,635,25400,203,0
SOL-000183,51,F,divorciado,Alquilada,1,Costa,Rural,1616,42,Semanal,3927,2492,Comercio,5829,56,2564.76,430,114,761,26635,10,1
