ID,edad,genero,estado_civil,tipo_vivienda,integrantes,zona_geografica,tipo_zona,monto_solicitado,plazo,periodo,ingreso_adicional,ingreso_terceros,sector_economico,ingreso_mensual_bruto,costo_inversion,ingreso_mensual_neto,gasto_basico,gastos_operativos,gastos_financieros,deuda_total_financiera,puntaje_experian,aprobado
SOL-000112,22,M,divorciado,Propia,4,Sierra,Periurbano,3540,225,Quincenal,1782,430,Transporte,4568,56,2009.92,890,185,1099,1313,795,1
SOL-000113,64,F,divorciado,Familiar,2,Costa,Rural,2378,155,Quincenal,479,368,Servicios,3122,40,1873.2,560,80,1071,2380,466,1
SOL-000114,58,M,soltero,Propia,4,Sierra,Urbano,1265,293,Diario,1811,1271,Transporte,17463,10,15716.7,1000,138,1065,4085,472,1
SOL-000115,42,M,divorciado,Familiar,4,Selva,Periurbano,5563,307,Semanal,417,734,Produccion,10556,18,8655.92,920,123,902,4544,372,1
SOL-000116,53,M,viudo,Propia,6,Selva,Periurbano,9488,150,Quincenal,1269,415,Transporte,4986,79,1047.06,1240,188,1384,1188,803,0
SOL-000117,34,F,viudo,Alquilada,3,Selva,Periurbano,5799,192,Mensual,1007,1183,Comercio,1075,68,344,740,136,362,4582,746,1
SOL-000118,24,M,conviviente,Alquilada,3,Selva,Urbano,9689,113,Quincenal,1743,887,Transporte,12953,38,8030.86,800,167,1325,2849,757,1
SOL-000119,54,F,conviviente,Alquilada,3,Sierra,Urbano,7143,294,Semanal,1924,1707,Produccion,10179,63,3766.23,830,163,125,1408,585,1
SOL-000120,60,F,soltero,Alquilada,1,Selva,Rural,7522,201,Semanal,1077,285,Comercio,8321,15,7072.85,350,84,1070,1249,642,1
SOL-000121,18,F,casado,Propia,6,Costa,Rural,5610,295,Mensual,730,234,Servicios,3179,50,1589.5,1150,51,443,4658,572,1
SOL-000122,52,F,conviviente,Familiar,3,Selva,Rural,703,82,Semanal,1463,1728,Comercio,12275,30,8592.5,590,142,1012,459,370,1
SOL-000123,26,M,divorciado,Familiar,3,Costa,Rural,5047,226,Mensual,1455,98,Produccion,7883,42,4572.14,700,196,1225,666,410,1
SOL-000124,31,F,casado,Propia,6,Costa,Rural,1065,286,Quincenal,526,762,Transporte,4592,65,1607.2,1150,71,240,3427,441,1
SOL-000125,69,F,divorciado,Propia,2,Costa,Periurbano,1635,327,Quincenal,855,178,Servicios,6281,70,1884.3,630,69,270,2169,567,1
SOL-000126,18,M,divorciado,Familiar,3,Selva,Urbano,2858,67,Quincenal,1481,822,Servicios,15329,77,3525.67,800,179,425,4818,493,1
SOL-000127,50,M,viudo,Propia,2,Sierra,Periurbano,4471,158,Mensual,1073,1926,Produccion,7855,53,3691.85,590,109,721,4631,401,1
SOL-000128,61,F,divorciado,Alquilada,4,Selva,Rural,6130,282,Semanal,462,1460,Servicios,4341,68,1389.12,710,180,193,3002,427,1
SOL-000129,68,M,divorciado,Familiar,3,Selva,Urbano,3255,35,Semanal,822,202,Produccion,10739,25,8054.25,800,91,554,1897,648,1
SOL-000130,31,M,divorciado,Familiar,2,Sierra,Periurbano,8622,192,Diario,1326,1317,Comercio,1707,73,460.89,590,70,894,1783,451,1
SOL-000131,70,F,divorciado,Familiar,3,Costa,Urbano,1021,211,Semanal,1612,961,Transporte,16957,54,7800.22,890,82,632,4776,758,1
SOL-000132,45,M,divorciado,Alquilada,2,Sierra,Rural,7942,356,Diario,651,480,Transporte,4058,64,1460.88,520,115,813,1524,650,1
SOL-000133,40,M,casado,Alquilada,2,Sierra,Rural,9187,116,Diario,1747,1685,Comercio,11861,56,5218.84,520,179,587,4219,718,1
SOL-000134,37,F,divorciado,Familiar,6,Selva,Periurbano,1137,37,Mensual,1669,577,Produccion,5998,85,899.7,1240,87,378,4656,649,1
SOL-000135,21,M,divorciado,Propia,1,Sierra,Urbano,9257,219,Quincenal,362,1569,Servicios,13808,40,8284.8,520,74,437,4889,459,1
SOL-000136,33,F,casado,Propia,5,Costa,Rural,4174,318,Mensual,1133,1231,Servicios,3243,68,1037.76,1000,140,1056,1909,480,1
SOL-000137,18,F,conviviente,Familiar,5,Sierra,Periurbano,2728,74,Quincenal,1578,1184,Servicios,12683,35,8243.95,1050,149,1315,371,702,1
SOL-000138,36,M,soltero,Propia,2,Selva,Rural,570,259,Semanal,928,111,Produccion,18302,42,10615.16,470,199,561,4053,511,1
SOL-000139,22,M,viudo,Propia,3,Costa,Periurbano,2266,344,Mensual,1088,219,Transporte,2063,68,660.16,790,146,196,2292,746,1
SOL-000140,27,M,viudo,Familiar,4,Costa,Periurbano,8785,46,Quincenal,593,235,Produccion,12791,63,4732.67,960,59,606,3573,510,1
SOL-000141,67,M,viudo,Familiar,4,Selva,Urbano,6556,110,Quincenal,1974,428,Servicios,1299,20,1039.2,990,184,795,4515,453,1
SOL-000142,36,F,viudo,Propia,4,Sierra,Rural,7752,215,Diario,1734,140,Servicios,5764,73,1556.28,750,169,651,2500,639,1
SOL-000143,40,M,casado,Propia,5,Sierra,Periurbano,7318,175,Mensual,1153,963,Comercio,16483,10,14834.7,1050,189,704,1599,750,1
SOL-000144,36,F,viudo,Familiar,1,Selva,Urbano,3276,308,Diario,119,846,Comercio,9679,40,5807.4,490,70,410,2258,581,1
SOL-000145,54,M,viudo,Familiar,3,Costa,Rural,1607,140,Diario,1273,454,Servicios,5034,74,1308.84,700,94,1295,4864,448,0
SOL-000146,35,M,viudo,Alquilada,4,Sierra,Urbano,1946,351,Diario,1161,622,Transporte,8593,60,3437.2,1000,143,1233,4635,713,1
SOL-000147,21,M,casado,Familiar,6,Costa,Periurbano,2220,315,Semanal,1441,700,Servicios,1072,52,514.56,1300,193,1431,969,702,0
SOL-000148,28,F,divorciado,Propia,3,Costa,Rural,7196,201,Quincenal,696,1004,Transporte,19287,10,17358.3,700,170,139,3523,806,1
SOL-000149,36,F,casado,Familiar,1,Selva,Rural,4099,313,Diario,1913,934,Transporte,3129,15,2659.65,350,142,822,1921,303,1
SOL-000150,54,F,soltero,Familiar,5,Selva,Urbano,5914,235,Diario,98,1889,Produccion,7196,66,2446.64,1160,109,1014,709,409,1
SOL-000151,68,M,viudo,Alquilada,3,Selva,Periurbano,1364,167,Mensual,684,1315,Comercio,11081,66,3767.54,740,115,495,4887,572,1
SOL-000152,21,M,conviviente,Familiar,3,Selva,Rural,3451,34,Mensual,1356,1519,Produccion,6716,60,2686.4,590,149,1249,2022,811,1
SOL-000153,68,M,soltero,Alquilada,2,Sierra,Rural,5653,273,Quincenal,451,1972,Produccion,5236,64,1884.96,520,64,1197,2565,784,1
SOL-000154,49,M,soltero,Familiar,4,Selva,Rural,3311,105,Diario,264,978,Servicios,11142,55,5013.9,710,66,388,3279,832,1
SOL-000155,44,F,divorciado,Propia,5,Selva,Periurbano,3414,316,Quincenal,693,71,Transporte,10164,64,3659.04,1080,131,378,2086,325,1
SOL-000156,61,F,divorciado,Propia,5,Costa,Rural,4588,105,Quincenal,1628,1767,Servicios,8088,49,4124.88,1000,108,293,1193,541,1
SOL-000157,34,M,casado,Familiar,5,Selva,Urbano,9412,291,Mensual,1669,1387,Transporte,9538,30,6676.6,1160,174,679,1605,392,1
SOL-000158,63,F,casado,Propia,2,Costa,Periurbano,4399,255,Semanal,352,636,Produccion,19881,52,9542.88,630,92,872,4521,657,1
SOL-000159,62,M,soltero,Propia,6,Costa,Urbano,4363,79,Mensual,1812,1101,Servicios,17990,55,8095.5,1440,130,332,3456,605,1
SOL-000160,21,F,casado,Propia,5,Selva,Urbano,4307,252,Quincenal,117,1317,Servicios,15597,58,6550.74,1160,190,1207,569,749,1
SOL-000161,68,M,soltero,Propia,4,Sierra,Periurbano,9444,90,Semanal,175,91,Comercio,15371,60,6148.4,890,73,333,848,312,1
SOL-000162,58,M,conviviente,Familiar,6,Sierra,Rural,8973,123,Semanal,501,1447,Produccion,9433,56,4150.52,1020,125,825,2480,814,1
SOL-000163,33,F,soltero,Propia,4,Sierra,Rural,8524,156,Semanal,577,995,Comercio,2018,61,787.02,750,107,170,325,474,1
SOL-000164,63,F,divorciado,Familiar,3,Costa,Urbano,1516,210,Diario,927,843,Servicios,3861,38,2393.82,890,129,1351,384,382,1
SOL-000165,31,M,casado,Familiar,6,Costa,Urbano,3078,259,Diario,1543,1497,Transporte,10489,67,3461.37,1440,80,1500,488,786,1
SOL-000166,23,F,divorciado,Propia,2,Costa,Urbano,4777,293,Mensual,1263,908,Comercio,2027,74,527.02,710,63,275,1426,539,1
SOL-000167,56,M,casado,Propia,6,Costa,Periurbano,2553,265,Semanal,1511,31,Transporte,5159,35,3353.35,1300,91,753,3724,842,1
SOL-000168,26,M,divorciado,Alquilada,4,Sierra,Urbano,659,41,Semanal,1493,7,Servicios,17286,65,6050.1,1000,149,307,965,637,1
SOL-000169,44,F,viudo,Propia,1,Costa,Urbano,4530,141,Diario,1699,819,Produccion,9836,60,3934.4,550,75,1158,2757,658,1
SOL-000170,59,F,casado,Familiar,6,Costa,Periurbano,2354,87,Semanal,907,38,Transporte,19376,52,9300.48,1300,90,1269,4881,718,1
SOL-000171,36,F,casado,Propia,3,Costa,Urbano,4902,123,Quincenal,1550,940,Transporte,7634,32,5191.12,890,186,443,2101,303,1
SOL-000172,66,F,viudo,Familiar,5,Sierra,Urbano,7516,309,Semanal,595,97,Servicios,13811,73,3728.97,1180,175,1172,4871,672,1
SOL-000173,21,M,viudo,Alquilada,1,Sierra,Urbano,4029,268,Mensual,1644,1642,Produccion,8049,32,5473.32,520,166,997,477,446,1
SOL-000174,38,M,viudo,Familiar,5,Sierra,Rural,2136,40,Diario,904,1938,Produccion,10986,69,3405.66,890,152,1157,4838,615,1
SOL-000175,25,M,divorciado,Familiar,1,Sierra,Rural,8262,328,Semanal,1525,1646,Transporte,11387,60,4554.8,390,189,1454,3963,850,1
SOL-000176,48,F,soltero,Propia,2,Sierra,Urbano,4423,49,Diario,363,1734,Comercio,16622,56,7313.68,670,133,560,475,700,1
SOL-000177,69,F,casado,Propia,1,Costa,Rural,6413,239,Semanal,941,58,Transporte,3264,52,1566.72,430,177,1492,2727,502,0
SOL-000178,61,M,viudo,Alquilada,1,Selva,Urbano,4619,335,Quincenal,1581,1706,Transporte,16377,71,4749.33,490,132,1132,1517,313,1
SOL-000179,39,F,soltero,Propia,4,Sierra,Rural,8740,46,Mensual,1130,509,Comercio,12113,59,4966.33,750,180,1252,724,618,1
SOL-000180,18,M,divorciado,Alquilada,5,Selva,Urbano,4998,104,Mensual,1587,1140,Transporte,14096,75,3524,1160,65,1264,2371,701,1
SOL-000181,57,M,viudo,Familiar,4,Selva,Periurbano,5804,211,Semanal,1533,65,Produccion,14600,72,4088,920,156,935,2088,567,1
SOL-000182,65,F,divorciado,Familiar,1,Costa,Urbano,9800,318,Semanal,1069,260,Produccion,4672,40,2803.2,550,99,806,2382,745,1
SOL-000183,37,F,divorciado,Propia,6,Selva,Urbano,3256,131,Semanal,430,1306,Transporte,4881,35,3172.65,1330,78,162,3077,838,1
